market,geography_type,indicator_name,indicator_value,indicator_unit,data_source,notes
Atlanta,Metro,late_payment_penalty_rate,12.0,%_annual,County Code,Annual penalty rate for late payment
Atlanta,Metro,millage_rate,20.0,mills,County Assessor,"Millage rate per $1,000 assessed value"
Atlanta,Metro,multifamily_assessed_value_per_unit,155000,$/unit,CoStar/Assessor Data,Average multifamily assessed value per unit
Atlanta,Metro,multifamily_assessed_value_psf,165,$/SF,CoStar/Assessor Data,Average multifamily assessed value per square foot
Atlanta,Metro,multifamily_assessment_yoy_growth,12.8,%,Assessor Data,Year-over-year multifamily assessment growth
Atlanta,Metro,multifamily_tax_per_unit,3100,$/unit,Calculated from assessed values,Annual property tax per multifamily unit
Atlanta,Metro,office_assessed_value_psf,195,$/SF,CoStar/Assessor Data,Average office assessed value per square foot
Atlanta,Metro,office_assessment_yoy_growth,4.8,%,Assessor Data,Year-over-year office assessment growth
Atlanta,Metro,office_tax_per_sf,3.9,$/SF,Calculated from assessed values,Annual property tax per office square foot
Atlanta,Metro,ontime_payment_rate,90,%,County Treasurer,Commercial property on-time payment rate
Atlanta,Metro,properties_assessment_spike_15pct,20.5,%,Analysis Estimate,Est. % of properties with YoY assessment increase >15%
Atlanta,Metro,properties_overassessed_110pct,16.5,%,Analysis Estimate,Est. % of properties assessed >110% of recent sale price
Atlanta,Metro,properties_receiving_abatements,13.5,%,Assessor/Economic Development,Percentage of commercial properties receiving abatements
Atlanta,Metro,property_tax_as_pct_noi,19.5,%,Industry Analysis,Property tax as percentage of net operating income
Atlanta,Metro,retail_assessed_value_psf,175,$/SF,CoStar/Assessor Data,Average retail assessed value per square foot
Atlanta,Metro,retail_assessment_yoy_growth,10.2,%,Assessor Data,Year-over-year retail assessment growth
Atlanta,Metro,retail_tax_per_sf,3.5,$/SF,Calculated from assessed values,Annual property tax per retail square foot
Atlanta,Metro,sales_comparison_usage,48,%,IAAO/Assessor Reports,Percentage using sales comparison approach
Atlanta,Metro,tax_burden_rank,7,rank,Comparative Analysis,Tax burden ranking (1=highest burden)
Atlanta,Metro,tax_lien_interest_rate,20.0,%_annual,County Treasurer,Interest rate on tax liens
Atlanta,Metro,tax_lien_properties_sold,320,number,County Treasurer,Annual count of commercial properties at tax lien sale
Atlanta,Metro,tax_lien_sale_frequency,Annual,text,County Treasurer,Frequency of tax lien sales
Atlanta,Metro,tax_rate_5yr_change,22.3,%,Lincoln Institute/Local Data,5-year change in effective tax rate
Atlanta,Metro,tif_district_count,22,number,Economic Development Office,Number of active Tax Increment Financing districts
Atlanta,Metro,total_abatement_value,125,$MM,Economic Development,Total annual value of tax abatements granted
Atlanta,Metro,typical_abatement_value,65,%,Economic Development,Typical percentage reduction for major abatement programs
Atlanta,Metro,typical_bid_assessment,0.35,$/SF,BID Reports,Typical Business Improvement District assessment per SF
Austin,Metro,abatement_duration,10,years,Economic Development,Typical duration of tax abatement in years
Austin,Metro,abatement_programs_count,5,number,Economic Development,Number of active tax abatement/exemption programs
Austin,Metro,affordable_housing_exemption,85,%,Housing Authority,Typical exemption percentage for qualifying affordable housing
Austin,Metro,appeal_filing_rate,42,%,Assessor/Appeal Board Data,Percentage of commercial assessments appealed
Austin,Metro,appeal_resolution_time,10,months,Appeal Board Data,Median time from filing to resolution
Austin,Metro,appeal_success_rate,58,%,Appeal Board Data,Percentage of appeals resulting in assessment reduction
Austin,Metro,assessment_frequency,Annual,text,County Assessor,Reassessment cycle frequency
Austin,Metro,assessment_lag,8,months,Assessor Data,Lag between sale and reflected assessment
Austin,Metro,assessment_to_market_ratio,100,%,County Assessor,Target assessment as % of market value
Austin,Metro,assessment_to_sales_ratio,103,%,Assessor Data,Average assessment as % of actual sale price
Austin,Metro,average_appeal_cost,2800,$,Tax Consultant Surveys,Average cost to file and pursue property tax appeal
Austin,Metro,avg_appeal_reduction,16.8,%,Appeal Board Data,Average assessment reduction on successful appeal
Austin,Metro,avg_days_delinquent,138,days,County Treasurer,Average days delinquent for late payments
Austin,Metro,bid_district_count,6,number,Economic Development,Number of Business Improvement Districts
Austin,Metro,coefficient_of_dispersion,19.8,ratio,IAAO Standards,"Coefficient of dispersion (lower = more uniform, target <15)"
Austin,Metro,delinquency_rate,4.5,%,County Treasurer,Commercial property delinquency rate (90+ days)
Austin,Metro,effective_property_tax_rate,2.45,%,Altus Group/Lincoln Institute,Effective commercial property tax rate
Austin,Metro,historic_property_exemption,35,%,Historic Preservation Office,Typical percentage reduction for historic properties
Austin,Metro,hotel_assessed_value_per_key,145000,$/key,CoStar/Assessor Data,Average hotel assessed value per room
Austin,Metro,income_approach_usage,45,%,IAAO/Assessor Reports,Percentage of commercial assessments using income approach
Austin,Metro,industrial_assessed_value_psf,165,$/SF,CoStar/Assessor Data,Average industrial assessed value per square foot
Austin,Metro,industrial_assessment_yoy_growth,25.5,%,Assessor Data,Year-over-year industrial assessment growth
Austin,Metro,industrial_tax_per_sf,4.04,$/SF,Calculated from assessed values,Annual property tax per industrial square foot
Austin,Metro,late_payment_penalty_rate,12.0,%_annual,County Code,Annual penalty rate for late payment
Austin,Metro,millage_rate,24.5,mills,County Assessor,"Millage rate per $1,000 assessed value"
Austin,Metro,multifamily_assessed_value_per_unit,235000,$/unit,CoStar/Assessor Data,Average multifamily assessed value per unit
Austin,Metro,multifamily_assessed_value_psf,245,$/SF,CoStar/Assessor Data,Average multifamily assessed value per square foot
Austin,Metro,multifamily_assessment_yoy_growth,22.5,%,Assessor Data,Year-over-year multifamily assessment growth
Austin,Metro,multifamily_tax_per_unit,5758,$/unit,Calculated from assessed values,Annual property tax per multifamily unit
Austin,Metro,office_assessed_value_psf,285,$/SF,CoStar/Assessor Data,Average office assessed value per square foot
Austin,Metro,office_assessment_yoy_growth,8.5,%,Assessor Data,Year-over-year office assessment growth
Austin,Metro,office_tax_per_sf,6.98,$/SF,Calculated from assessed values,Annual property tax per office square foot
Austin,Metro,ontime_payment_rate,95,%,County Treasurer,Commercial property on-time payment rate
Austin,Metro,properties_assessment_spike_15pct,35.2,%,Analysis Estimate,Est. % of properties with YoY assessment increase >15%
Austin,Metro,properties_overassessed_110pct,22.5,%,Analysis Estimate,Est. % of properties assessed >110% of recent sale price
Austin,Metro,properties_receiving_abatements,14.8,%,Assessor/Economic Development,Percentage of commercial properties receiving abatements
Austin,Metro,property_tax_as_pct_noi,22.5,%,Industry Analysis,Property tax as percentage of net operating income
Austin,Metro,retail_assessed_value_psf,245,$/SF,CoStar/Assessor Data,Average retail assessed value per square foot
Austin,Metro,retail_assessment_yoy_growth,18.5,%,Assessor Data,Year-over-year retail assessment growth
Austin,Metro,retail_tax_per_sf,6.0,$/SF,Calculated from assessed values,Annual property tax per retail square foot
Austin,Metro,sales_comparison_usage,55,%,IAAO/Assessor Reports,Percentage using sales comparison approach
Austin,Metro,tax_burden_rank,5,rank,Comparative Analysis,Tax burden ranking (1=highest burden)
Austin,Metro,tax_lien_interest_rate,12.0,%_annual,County Treasurer,Interest rate on tax liens
Austin,Metro,tax_lien_properties_sold,125,number,County Treasurer,Annual count of commercial properties at tax lien sale
Austin,Metro,tax_lien_sale_frequency,Semi-Annual,text,County Treasurer,Frequency of tax lien sales
Austin,Metro,tax_rate_5yr_change,58.2,%,Lincoln Institute/Local Data,5-year change in effective tax rate
Austin,Metro,tif_district_count,8,number,Economic Development Office,Number of active Tax Increment Financing districts
Austin,Metro,total_abatement_value,145,$MM,Economic Development,Total annual value of tax abatements granted
Austin,Metro,typical_abatement_value,60,%,Economic Development,Typical percentage reduction for major abatement programs
Austin,Metro,typical_bid_assessment,0.35,$/SF,BID Reports,Typical Business Improvement District assessment per SF
Boston,Metro,abatement_duration,25,years,Economic Development,Typical duration of tax abatement in years
Boston,Metro,abatement_programs_count,6,number,Economic Development,Number of active tax abatement/exemption programs
Boston,Metro,affordable_housing_exemption,100,%,Housing Authority,Typical exemption percentage for qualifying affordable housing
Boston,Metro,appeal_filing_rate,35,%,Assessor/Appeal Board Data,Percentage of commercial assessments appealed
Boston,Metro,appeal_resolution_time,12,months,Appeal Board Data,Median time from filing to resolution
Boston,Metro,appeal_success_rate,48,%,Appeal Board Data,Percentage of appeals resulting in assessment reduction
Boston,Metro,assessment_frequency,Annual,text,County Assessor,Reassessment cycle frequency
Boston,Metro,assessment_lag,10,months,Assessor Data,Lag between sale and reflected assessment
Boston,Metro,assessment_to_market_ratio,100,%,County Assessor,Target assessment as % of market value
Boston,Metro,assessment_to_sales_ratio,100,%,Assessor Data,Average assessment as % of actual sale price
Boston,Metro,average_appeal_cost,4000,$,Tax Consultant Surveys,Average cost to file and pursue property tax appeal
Boston,Metro,avg_appeal_reduction,16.2,%,Appeal Board Data,Average assessment reduction on successful appeal
Boston,Metro,avg_days_delinquent,152,days,County Treasurer,Average days delinquent for late payments
Boston,Metro,bid_district_count,12,number,Economic Development,Number of Business Improvement Districts
Boston,Metro,coefficient_of_dispersion,12.8,ratio,IAAO Standards,"Coefficient of dispersion (lower = more uniform, target <15)"
Boston,Metro,delinquency_rate,6.5,%,County Treasurer,Commercial property delinquency rate (90+ days)
Boston,Metro,effective_property_tax_rate,3.0,%,Altus Group/Lincoln Institute,Effective commercial property tax rate
Boston,Metro,historic_property_exemption,45,%,Historic Preservation Office,Typical percentage reduction for historic properties
Boston,Metro,hotel_assessed_value_per_key,225000,$/key,CoStar/Assessor Data,Average hotel assessed value per room
Boston,Metro,income_approach_usage,65,%,IAAO/Assessor Reports,Percentage of commercial assessments using income approach
Boston,Metro,industrial_assessed_value_psf,245,$/SF,CoStar/Assessor Data,Average industrial assessed value per square foot
Boston,Metro,industrial_assessment_yoy_growth,7.2,%,Assessor Data,Year-over-year industrial assessment growth
Boston,Metro,industrial_tax_per_sf,7.35,$/SF,Calculated from assessed values,Annual property tax per industrial square foot
Boston,Metro,late_payment_penalty_rate,14.0,%_annual,County Code,Annual penalty rate for late payment
Boston,Metro,millage_rate,30.0,mills,County Assessor,"Millage rate per $1,000 assessed value"
Boston,Metro,multifamily_assessed_value_per_unit,365000,$/unit,CoStar/Assessor Data,Average multifamily assessed value per unit
Boston,Metro,multifamily_assessed_value_psf,385,$/SF,CoStar/Assessor Data,Average multifamily assessed value per square foot
Boston,Metro,multifamily_assessment_yoy_growth,5.2,%,Assessor Data,Year-over-year multifamily assessment growth
Boston,Metro,multifamily_tax_per_unit,10950,$/unit,Calculated from assessed values,Annual property tax per multifamily unit
Boston,Metro,office_assessed_value_psf,485,$/SF,CoStar/Assessor Data,Average office assessed value per square foot
Boston,Metro,office_assessment_yoy_growth,-2.8,%,Assessor Data,Year-over-year office assessment growth
Boston,Metro,office_tax_per_sf,14.55,$/SF,Calculated from assessed values,Annual property tax per office square foot
Boston,Metro,ontime_payment_rate,92,%,County Treasurer,Commercial property on-time payment rate
Boston,Metro,properties_assessment_spike_15pct,10.2,%,Analysis Estimate,Est. % of properties with YoY assessment increase >15%
Boston,Metro,properties_overassessed_110pct,14.5,%,Analysis Estimate,Est. % of properties assessed >110% of recent sale price
Boston,Metro,properties_receiving_abatements,10.2,%,Assessor/Economic Development,Percentage of commercial properties receiving abatements
Boston,Metro,property_tax_as_pct_noi,24.5,%,Industry Analysis,Property tax as percentage of net operating income
Boston,Metro,retail_assessed_value_psf,415,$/SF,CoStar/Assessor Data,Average retail assessed value per square foot
Boston,Metro,retail_assessment_yoy_growth,4.8,%,Assessor Data,Year-over-year retail assessment growth
Boston,Metro,retail_tax_per_sf,12.45,$/SF,Calculated from assessed values,Annual property tax per retail square foot
Boston,Metro,sales_comparison_usage,35,%,IAAO/Assessor Reports,Percentage using sales comparison approach
Boston,Metro,tax_burden_rank,3,rank,Comparative Analysis,Tax burden ranking (1=highest burden)
Boston,Metro,tax_lien_interest_rate,N/A,text,County Treasurer,No tax lien sales in this jurisdiction
Boston,Metro,tax_lien_properties_sold,0,number,County Treasurer,Annual count of commercial properties at tax lien sale
Boston,Metro,tax_lien_sale_frequency,None,text,County Treasurer,Frequency of tax lien sales
Boston,Metro,tax_rate_5yr_change,-5.5,%,Lincoln Institute/Local Data,5-year change in effective tax rate
Boston,Metro,tif_district_count,10,number,Economic Development Office,Number of active Tax Increment Financing districts
Boston,Metro,total_abatement_value,85,$MM,Economic Development,Total annual value of tax abatements granted
Boston,Metro,typical_abatement_value,55,%,Economic Development,Typical percentage reduction for major abatement programs
Boston,Metro,typical_bid_assessment,0.72,$/SF,BID Reports,Typical Business Improvement District assessment per SF
Charlotte,Metro,abatement_duration,8,years,Economic Development,Typical duration of tax abatement in years
Charlotte,Metro,abatement_programs_count,3,number,Economic Development,Number of active tax abatement/exemption programs
Charlotte,Metro,affordable_housing_exemption,75,%,Housing Authority,Typical exemption percentage for qualifying affordable housing
Charlotte,Metro,appeal_filing_rate,24,%,Assessor/Appeal Board Data,Percentage of commercial assessments appealed
Charlotte,Metro,appeal_resolution_time,8,months,Appeal Board Data,Median time from filing to resolution
Charlotte,Metro,appeal_success_rate,46,%,Appeal Board Data,Percentage of appeals resulting in assessment reduction
Charlotte,Metro,assessment_frequency,Varies,text,County Assessor,Reassessment cycle frequency
Charlotte,Metro,assessment_lag,8,months,Assessor Data,Lag between sale and reflected assessment
Charlotte,Metro,assessment_to_market_ratio,100,%,County Assessor,Target assessment as % of market value
Charlotte,Metro,assessment_to_sales_ratio,99,%,Assessor Data,Average assessment as % of actual sale price
Charlotte,Metro,average_appeal_cost,2400,$,Tax Consultant Surveys,Average cost to file and pursue property tax appeal
Charlotte,Metro,avg_appeal_reduction,12.8,%,Appeal Board Data,Average assessment reduction on successful appeal
Charlotte,Metro,avg_days_delinquent,152,days,County Treasurer,Average days delinquent for late payments
Charlotte,Metro,bid_district_count,6,number,Economic Development,Number of Business Improvement Districts
Charlotte,Metro,coefficient_of_dispersion,15.2,ratio,IAAO Standards,"Coefficient of dispersion (lower = more uniform, target <15)"
Charlotte,Metro,delinquency_rate,6.2,%,County Treasurer,Commercial property delinquency rate (90+ days)
Charlotte,Metro,effective_property_tax_rate,1.55,%,Altus Group/Lincoln Institute,Effective commercial property tax rate
Charlotte,Metro,historic_property_exemption,30,%,Historic Preservation Office,Typical percentage reduction for historic properties
Charlotte,Metro,hotel_assessed_value_per_key,125000,$/key,CoStar/Assessor Data,Average hotel assessed value per room
Charlotte,Metro,income_approach_usage,45,%,IAAO/Assessor Reports,Percentage of commercial assessments using income approach
Charlotte,Metro,industrial_assessed_value_psf,125,$/SF,CoStar/Assessor Data,Average industrial assessed value per square foot
Charlotte,Metro,industrial_assessment_yoy_growth,20.2,%,Assessor Data,Year-over-year industrial assessment growth
Charlotte,Metro,industrial_tax_per_sf,1.94,$/SF,Calculated from assessed values,Annual property tax per industrial square foot
Charlotte,Metro,late_payment_penalty_rate,10.0,%_annual,County Code,Annual penalty rate for late payment
Charlotte,Metro,millage_rate,15.5,mills,County Assessor,"Millage rate per $1,000 assessed value"
Charlotte,Metro,multifamily_assessed_value_per_unit,175000,$/unit,CoStar/Assessor Data,Average multifamily assessed value per unit
Charlotte,Metro,multifamily_assessed_value_psf,185,$/SF,CoStar/Assessor Data,Average multifamily assessed value per square foot
Charlotte,Metro,multifamily_assessment_yoy_growth,16.5,%,Assessor Data,Year-over-year multifamily assessment growth
Charlotte,Metro,multifamily_tax_per_unit,2703,$/unit,Calculated from assessed values,Annual property tax per multifamily unit
Charlotte,Metro,office_assessed_value_psf,215,$/SF,CoStar/Assessor Data,Average office assessed value per square foot
Charlotte,Metro,office_assessment_yoy_growth,7.5,%,Assessor Data,Year-over-year office assessment growth
Charlotte,Metro,office_tax_per_sf,3.33,$/SF,Calculated from assessed values,Annual property tax per office square foot
Charlotte,Metro,ontime_payment_rate,93,%,County Treasurer,Commercial property on-time payment rate
Charlotte,Metro,properties_assessment_spike_15pct,25.5,%,Analysis Estimate,Est. % of properties with YoY assessment increase >15%
Charlotte,Metro,properties_overassessed_110pct,13.2,%,Analysis Estimate,Est. % of properties assessed >110% of recent sale price
Charlotte,Metro,properties_receiving_abatements,9.8,%,Assessor/Economic Development,Percentage of commercial properties receiving abatements
Charlotte,Metro,property_tax_as_pct_noi,17.2,%,Industry Analysis,Property tax as percentage of net operating income
Charlotte,Metro,retail_assessed_value_psf,195,$/SF,CoStar/Assessor Data,Average retail assessed value per square foot
Charlotte,Metro,retail_assessment_yoy_growth,13.8,%,Assessor Data,Year-over-year retail assessment growth
Charlotte,Metro,retail_tax_per_sf,3.02,$/SF,Calculated from assessed values,Annual property tax per retail square foot
Charlotte,Metro,sales_comparison_usage,55,%,IAAO/Assessor Reports,Percentage using sales comparison approach
Charlotte,Metro,tax_burden_rank,10,rank,Comparative Analysis,Tax burden ranking (1=highest burden)
Charlotte,Metro,tax_lien_interest_rate,12.0,%_annual,County Treasurer,Interest rate on tax liens
Charlotte,Metro,tax_lien_properties_sold,110,number,County Treasurer,Annual count of commercial properties at tax lien sale
Charlotte,Metro,tax_lien_sale_frequency,Annual,text,County Treasurer,Frequency of tax lien sales
Charlotte,Metro,tax_rate_5yr_change,45.2,%,Lincoln Institute/Local Data,5-year change in effective tax rate
Charlotte,Metro,tif_district_count,8,number,Economic Development Office,Number of active Tax Increment Financing districts
Charlotte,Metro,total_abatement_value,55,$MM,Economic Development,Total annual value of tax abatements granted
Charlotte,Metro,typical_abatement_value,55,%,Economic Development,Typical percentage reduction for major abatement programs
Charlotte,Metro,typical_bid_assessment,0.32,$/SF,BID Reports,Typical Business Improvement District assessment per SF
Chicago,Metro,abatement_duration,12,years,Economic Development,Typical duration of tax abatement in years
Chicago,Metro,abatement_programs_count,7,number,Economic Development,Number of active tax abatement/exemption programs
Chicago,Metro,affordable_housing_exemption,85,%,Housing Authority,Typical exemption percentage for qualifying affordable housing
Chicago,Metro,appeal_filing_rate,68,%,Assessor/Appeal Board Data,Percentage of commercial assessments appealed
Chicago,Metro,appeal_resolution_time,18,months,Appeal Board Data,Median time from filing to resolution
Chicago,Metro,appeal_success_rate,72,%,Appeal Board Data,Percentage of appeals resulting in assessment reduction
Chicago,Metro,assessment_frequency,Triennial,text,County Assessor,Reassessment cycle frequency
Chicago,Metro,assessment_lag,12,months,Assessor Data,Lag between sale and reflected assessment
Chicago,Metro,assessment_to_market_ratio,100,%,County Assessor,Target assessment as % of market value
Chicago,Metro,assessment_to_sales_ratio,97,%,Assessor Data,Average assessment as % of actual sale price
Chicago,Metro,average_appeal_cost,3800,$,Tax Consultant Surveys,Average cost to file and pursue property tax appeal
Chicago,Metro,avg_appeal_reduction,18.5,%,Appeal Board Data,Average assessment reduction on successful appeal
Chicago,Metro,avg_days_delinquent,225,days,County Treasurer,Average days delinquent for late payments
Chicago,Metro,bid_district_count,33,number,Economic Development,Number of Business Improvement Districts
Chicago,Metro,coefficient_of_dispersion,22.3,ratio,IAAO Standards,"Coefficient of dispersion (lower = more uniform, target <15)"
Chicago,Metro,delinquency_rate,13.2,%,County Treasurer,Commercial property delinquency rate (90+ days)
Chicago,Metro,effective_property_tax_rate,4.25,%,Altus Group/Lincoln Institute,Effective commercial property tax rate
Chicago,Metro,historic_property_exemption,65,%,Historic Preservation Office,Typical percentage reduction for historic properties
Chicago,Metro,hotel_assessed_value_per_key,145000,$/key,CoStar/Assessor Data,Average hotel assessed value per room
Chicago,Metro,income_approach_usage,70,%,IAAO/Assessor Reports,Percentage of commercial assessments using income approach
Chicago,Metro,industrial_assessed_value_psf,145,$/SF,CoStar/Assessor Data,Average industrial assessed value per square foot
Chicago,Metro,industrial_assessment_yoy_growth,4.8,%,Assessor Data,Year-over-year industrial assessment growth
Chicago,Metro,industrial_tax_per_sf,6.16,$/SF,Calculated from assessed values,Annual property tax per industrial square foot
Chicago,Metro,late_payment_penalty_rate,18.0,%_annual,County Code,Annual penalty rate for late payment
Chicago,Metro,millage_rate,42.5,mills,County Assessor,"Millage rate per $1,000 assessed value"
Chicago,Metro,multifamily_assessed_value_per_unit,225000,$/unit,CoStar/Assessor Data,Average multifamily assessed value per unit
Chicago,Metro,multifamily_assessed_value_psf,245,$/SF,CoStar/Assessor Data,Average multifamily assessed value per square foot
Chicago,Metro,multifamily_assessment_yoy_growth,1.8,%,Assessor Data,Year-over-year multifamily assessment growth
Chicago,Metro,multifamily_tax_per_unit,9563,$/unit,Calculated from assessed values,Annual property tax per multifamily unit
Chicago,Metro,office_assessed_value_psf,285,$/SF,CoStar/Assessor Data,Average office assessed value per square foot
Chicago,Metro,office_assessment_yoy_growth,-6.5,%,Assessor Data,Year-over-year office assessment growth
Chicago,Metro,office_tax_per_sf,12.11,$/SF,Calculated from assessed values,Annual property tax per office square foot
Chicago,Metro,ontime_payment_rate,86,%,County Treasurer,Commercial property on-time payment rate
Chicago,Metro,properties_assessment_spike_15pct,7.2,%,Analysis Estimate,Est. % of properties with YoY assessment increase >15%
Chicago,Metro,properties_overassessed_110pct,28.5,%,Analysis Estimate,Est. % of properties assessed >110% of recent sale price
Chicago,Metro,properties_receiving_abatements,18.5,%,Assessor/Economic Development,Percentage of commercial properties receiving abatements
Chicago,Metro,property_tax_as_pct_noi,32.5,%,Industry Analysis,Property tax as percentage of net operating income
Chicago,Metro,retail_assessed_value_psf,255,$/SF,CoStar/Assessor Data,Average retail assessed value per square foot
Chicago,Metro,retail_assessment_yoy_growth,2.5,%,Assessor Data,Year-over-year retail assessment growth
Chicago,Metro,retail_tax_per_sf,10.84,$/SF,Calculated from assessed values,Annual property tax per retail square foot
Chicago,Metro,sales_comparison_usage,30,%,IAAO/Assessor Reports,Percentage using sales comparison approach
Chicago,Metro,tax_burden_rank,1,rank,Comparative Analysis,Tax burden ranking (1=highest burden)
Chicago,Metro,tax_lien_interest_rate,18.0,%_annual,County Treasurer,Interest rate on tax liens
Chicago,Metro,tax_lien_properties_sold,850,number,County Treasurer,Annual count of commercial properties at tax lien sale
Chicago,Metro,tax_lien_sale_frequency,Annual,text,County Treasurer,Frequency of tax lien sales
Chicago,Metro,tax_rate_5yr_change,6.2,%,Lincoln Institute/Local Data,5-year change in effective tax rate
Chicago,Metro,tif_district_count,142,number,Economic Development Office,Number of active Tax Increment Financing districts
Chicago,Metro,total_abatement_value,225,$MM,Economic Development,Total annual value of tax abatements granted
Chicago,Metro,typical_abatement_value,60,%,Economic Development,Typical percentage reduction for major abatement programs
Chicago,Metro,typical_bid_assessment,0.55,$/SF,BID Reports,Typical Business Improvement District assessment per SF
Dallas,Metro,abatement_duration,12,years,Economic Development,Typical duration of tax abatement in years
Dallas,Metro,abatement_programs_count,6,number,Economic Development,Number of active tax abatement/exemption programs
Dallas,Metro,affordable_housing_exemption,75,%,Housing Authority,Typical exemption percentage for qualifying affordable housing
Dallas,Metro,appeal_filing_rate,45,%,Assessor/Appeal Board Data,Percentage of commercial assessments appealed
Dallas,Metro,appeal_resolution_time,9,months,Appeal Board Data,Median time from filing to resolution
Dallas,Metro,appeal_success_rate,55,%,Appeal Board Data,Percentage of appeals resulting in assessment reduction
Dallas,Metro,assessment_frequency,Annual,text,County Assessor,Reassessment cycle frequency
Dallas,Metro,assessment_lag,8,months,Assessor Data,Lag between sale and reflected assessment
Dallas,Metro,assessment_to_market_ratio,100,%,County Assessor,Target assessment as % of market value
Dallas,Metro,assessment_to_sales_ratio,102,%,Assessor Data,Average assessment as % of actual sale price
Dallas,Metro,average_appeal_cost,2500,$,Tax Consultant Surveys,Average cost to file and pursue property tax appeal
Dallas,Metro,avg_appeal_reduction,15.2,%,Appeal Board Data,Average assessment reduction on successful appeal
Dallas,Metro,avg_days_delinquent,168,days,County Treasurer,Average days delinquent for late payments
Dallas,Metro,bid_district_count,14,number,Economic Development,Number of Business Improvement Districts
Dallas,Metro,coefficient_of_dispersion,18.5,ratio,IAAO Standards,"Coefficient of dispersion (lower = more uniform, target <15)"
Dallas,Metro,delinquency_rate,8.5,%,County Treasurer,Commercial property delinquency rate (90+ days)
Dallas,Metro,effective_property_tax_rate,2.65,%,Altus Group/Lincoln Institute,Effective commercial property tax rate
Dallas,Metro,historic_property_exemption,30,%,Historic Preservation Office,Typical percentage reduction for historic properties
Dallas,Metro,hotel_assessed_value_per_key,125000,$/key,CoStar/Assessor Data,Average hotel assessed value per room
Dallas,Metro,income_approach_usage,48,%,IAAO/Assessor Reports,Percentage of commercial assessments using income approach
Dallas,Metro,industrial_assessed_value_psf,125,$/SF,CoStar/Assessor Data,Average industrial assessed value per square foot
Dallas,Metro,industrial_assessment_yoy_growth,18.5,%,Assessor Data,Year-over-year industrial assessment growth
Dallas,Metro,industrial_tax_per_sf,3.31,$/SF,Calculated from assessed values,Annual property tax per industrial square foot
Dallas,Metro,late_payment_penalty_rate,12.0,%_annual,County Code,Annual penalty rate for late payment
Dallas,Metro,millage_rate,26.5,mills,County Assessor,"Millage rate per $1,000 assessed value"
Dallas,Metro,multifamily_assessed_value_per_unit,175000,$/unit,CoStar/Assessor Data,Average multifamily assessed value per unit
Dallas,Metro,multifamily_assessed_value_psf,185,$/SF,CoStar/Assessor Data,Average multifamily assessed value per square foot
Dallas,Metro,multifamily_assessment_yoy_growth,15.8,%,Assessor Data,Year-over-year multifamily assessment growth
Dallas,Metro,multifamily_tax_per_unit,4638,$/unit,Calculated from assessed values,Annual property tax per multifamily unit
Dallas,Metro,office_assessed_value_psf,225,$/SF,CoStar/Assessor Data,Average office assessed value per square foot
Dallas,Metro,office_assessment_yoy_growth,6.2,%,Assessor Data,Year-over-year office assessment growth
