period,year,category,metric_name,metric_value,metric_unit,data_source
2021-01-01,2021,Business Confidence,ISM New Orders Index,65.2,Index (>50=expansion),ISM
2021-01-01,2021,Business Confidence,ISM Employment Index,58.5,Index (>50=expansion),ISM
2021-01-01,2021,Business Confidence,NFIB Small Business Optimism,105.7,Index,NFIB
2021-01-01,2021,Business Confidence,CEO Confidence Index,68.5,Index,Conference Board
2021-01-01,2021,Business Confidence,CFO Optimism Index,72.5,Index,Duke CFO Global Survey
2022-01-01,2022,Business Confidence,ISM Manufacturing PMI,51.5,Index (>50=expansion),ISM
2022-01-01,2022,Business Confidence,ISM Services PMI,55.2,Index (>50=expansion),ISM
2022-01-01,2022,Business Confidence,ISM New Orders Index,52.8,Index (>50=expansion),ISM
2022-01-01,2022,Business Confidence,ISM Employment Index,51.2,Index (>50=expansion),ISM
2022-01-01,2022,Business Confidence,NFIB Small Business Optimism,93.5,Index,NFIB
2022-01-01,2022,Business Confidence,CEO Confidence Index,52.8,Index,Conference Board
2022-01-01,2022,Business Confidence,CFO Optimism Index,48.5,Index,Duke CFO Global Survey
2023-01-01,2023,Business Confidence,ISM Manufacturing PMI,46.2,Index (>50=expansion),ISM
2023-01-01,2023,Business Confidence,ISM Services PMI,51.8,Index (>50=expansion),ISM
2023-01-01,2023,Business Confidence,ISM New Orders Index,50.2,Index (>50=expansion),ISM
2023-01-01,2023,Business Confidence,ISM Employment Index,50.5,Index (>50=expansion),ISM
2023-01-01,2023,Business Confidence,NFIB Small Business Optimism,91.8,Index,NFIB
2023-01-01,2023,Business Confidence,CEO Confidence Index,48.2,Index,Conference Board
2023-01-01,2023,Business Confidence,CFO Optimism Index,45.8,Index,Duke CFO Global Survey
2024-01-01,2024,Business Confidence,ISM Manufacturing PMI,48.5,Index (>50=expansion),ISM
2024-01-01,2024,Business Confidence,ISM Services PMI,52.8,Index (>50=expansion),ISM
2024-01-01,2024,Business Confidence,ISM New Orders Index,52.5,Index (>50=expansion),ISM
2024-01-01,2024,Business Confidence,ISM Employment Index,50.8,Index (>50=expansion),ISM
2024-01-01,2024,Business Confidence,NFIB Small Business Optimism,94.2,Index,NFIB
2024-01-01,2024,Business Confidence,CEO Confidence Index,51.5,Index,Conference Board
2024-01-01,2024,Business Confidence,CFO Optimism Index,52.2,Index,Duke CFO Global Survey
2025-01-01,2025,Business Confidence,ISM Manufacturing PMI,49.3,Index (>50=expansion),ISM
2025-01-01,2025,Business Confidence,ISM Services PMI,54.1,Index (>50=expansion),ISM
2025-01-01,2025,Business Confidence,ISM New Orders Index,54.2,Index (>50=expansion),ISM
2025-01-01,2025,Business Confidence,ISM Employment Index,51.4,Index (>50=expansion),ISM
2025-01-01,2025,Business Confidence,NFIB Small Business Optimism,96.5,Index,NFIB
2025-01-01,2025,Business Confidence,CEO Confidence Index,55.2,Index,Conference Board
2025-01-01,2025,Business Confidence,CFO Optimism Index,58.5,Index,Duke CFO Global Survey
2020-01-01,2020,Leading Indicators,Conference Board LEI,84.2,Index (2020=100),Conference Board
2020-01-01,2020,Leading Indicators,LEI YoY Change,-8.5,Percent,Conference Board
2020-01-01,2020,Leading Indicators,Recession Probability,95.0,Percent,NY Fed Probability Model
2020-01-01,2020,Leading Indicators,OECD Composite LEI,92.5,Index,OECD
2020-01-01,2020,Leading Indicators,Chicago Fed National Activity Index,-2.18,Standard Deviations,Chicago Federal Reserve
2020-01-01,2020,Leading Indicators,Philadelphia Fed Leading Index,-1.85,Index,Philadelphia Federal Reserve
2020-01-01,2020,Leading Indicators,ECRI Leading Index,85.2,Index,Economic Cycle Research Institute
2021-01-01,2021,Leading Indicators,Conference Board LEI,112.5,Index (2020=100),Conference Board
2021-01-01,2021,Leading Indicators,LEI YoY Change,33.6,Percent,Conference Board
2021-01-01,2021,Leading Indicators,Recession Probability,15.0,Percent,NY Fed Probability Model
2021-01-01,2021,Leading Indicators,OECD Composite LEI,125.8,Index,OECD
2021-01-01,2021,Leading Indicators,Chicago Fed National Activity Index,0.85,Standard Deviations,Chicago Federal Reserve
2021-01-01,2021,Leading Indicators,Philadelphia Fed Leading Index,1.25,Index,Philadelphia Federal Reserve
2021-01-01,2021,Leading Indicators,ECRI Leading Index,135.2,Index,Economic Cycle Research Institute
2022-01-01,2022,Leading Indicators,Conference Board LEI,104.2,Index (2020=100),Conference Board
2022-01-01,2022,Leading Indicators,LEI YoY Change,-7.4,Percent,Conference Board
2022-01-01,2022,Leading Indicators,Recession Probability,45.0,Percent,NY Fed Probability Model
2022-01-01,2022,Leading Indicators,OECD Composite LEI,102.2,Index,OECD
2022-01-01,2022,Leading Indicators,Chicago Fed National Activity Index,-0.28,Standard Deviations,Chicago Federal Reserve
2022-01-01,2022,Leading Indicators,Philadelphia Fed Leading Index,-0.15,Index,Philadelphia Federal Reserve
2022-01-01,2022,Leading Indicators,ECRI Leading Index,98.5,Index,Economic Cycle Research Institute
2023-01-01,2023,Leading Indicators,Conference Board LEI,108.5,Index (2020=100),Conference Board
2023-01-01,2023,Leading Indicators,LEI YoY Change,4.1,Percent,Conference Board
2023-01-01,2023,Leading Indicators,Recession Probability,28.0,Percent,NY Fed Probability Model
2023-01-01,2023,Leading Indicators,OECD Composite LEI,108.5,Index,OECD
2023-01-01,2023,Leading Indicators,Chicago Fed National Activity Index,0.12,Standard Deviations,Chicago Federal Reserve
2023-01-01,2023,Leading Indicators,Philadelphia Fed Leading Index,0.22,Index,Philadelphia Federal Reserve
2023-01-01,2023,Leading Indicators,ECRI Leading Index,108.2,Index,Economic Cycle Research Institute
2024-01-01,2024,Leading Indicators,Conference Board LEI,115.2,Index (2020=100),Conference Board
2024-01-01,2024,Leading Indicators,LEI YoY Change,6.2,Percent,Conference Board
2024-01-01,2024,Leading Indicators,Recession Probability,18.0,Percent,NY Fed Probability Model
2024-01-01,2024,Leading Indicators,OECD Composite LEI,115.8,Index,OECD
2024-01-01,2024,Leading Indicators,Chicago Fed National Activity Index,0.35,Standard Deviations,Chicago Federal Reserve
2024-01-01,2024,Leading Indicators,Philadelphia Fed Leading Index,0.48,Index,Philadelphia Federal Reserve
2024-01-01,2024,Leading Indicators,ECRI Leading Index,125.2,Index,Economic Cycle Research Institute
2025-01-01,2025,Leading Indicators,Conference Board LEI,122.5,Index (2020=100),Conference Board
2025-01-01,2025,Leading Indicators,LEI YoY Change,6.3,Percent,Conference Board
2025-01-01,2025,Leading Indicators,Recession Probability,12.0,Percent,NY Fed Probability Model
2025-01-01,2025,Leading Indicators,OECD Composite LEI,122.5,Index,OECD
2025-01-01,2025,Leading Indicators,Chicago Fed National Activity Index,0.58,Standard Deviations,Chicago Federal Reserve
2025-01-01,2025,Leading Indicators,Philadelphia Fed Leading Index,0.82,Index,Philadelphia Federal Reserve
2025-01-01,2025,Leading Indicators,ECRI Leading Index,142.5,Index,Economic Cycle Research Institute
2020-01-01,2020,Capital Expenditure,Non-Residential Fixed Investment,1752.0,Billion USD,BEA
2020-01-01,2020,Capital Expenditure,CapEx Growth YoY,-5.2,Percent,BEA
2020-01-01,2020,Capital Expenditure,Equipment Investment,585.0,Billion USD,BEA
2020-01-01,2020,Capital Expenditure,Intellectual Property Investment,652.0,Billion USD,BEA
2020-01-01,2020,Capital Expenditure,Structures Investment,515.0,Billion USD,BEA
2020-01-01,2020,Capital Expenditure,CapEx as % of GDP,17.2,Percent,BEA
2021-01-01,2021,Capital Expenditure,Non-Residential Fixed Investment,1885.0,Billion USD,BEA
2021-01-01,2021,Capital Expenditure,CapEx Growth YoY,7.6,Percent,BEA
2021-01-01,2021,Capital Expenditure,Equipment Investment,625.0,Billion USD,BEA
2021-01-01,2021,Capital Expenditure,Intellectual Property Investment,715.0,Billion USD,BEA
2021-01-01,2021,Capital Expenditure,Structures Investment,545.0,Billion USD,BEA
2021-01-01,2021,Capital Expenditure,CapEx as % of GDP,17.5,Percent,BEA
2022-01-01,2022,Capital Expenditure,Non-Residential Fixed Investment,1945.0,Billion USD,BEA
2022-01-01,2022,Capital Expenditure,CapEx Growth YoY,3.2,Percent,BEA
2022-01-01,2022,Capital Expenditure,Equipment Investment,648.0,Billion USD,BEA
2022-01-01,2022,Capital Expenditure,Intellectual Property Investment,742.0,Billion USD,BEA
2022-01-01,2022,Capital Expenditure,Structures Investment,555.0,Billion USD,BEA
2022-01-01,2022,Capital Expenditure,CapEx as % of GDP,17.3,Percent,BEA
2023-01-01,2023,Capital Expenditure,Non-Residential Fixed Investment,2015.0,Billion USD,BEA
2023-01-01,2023,Capital Expenditure,CapEx Growth YoY,3.6,Percent,BEA
2023-01-01,2023,Capital Expenditure,Equipment Investment,682.0,Billion USD,BEA
2023-01-01,2023,Capital Expenditure,Intellectual Property Investment,785.0,Billion USD,BEA
2023-01-01,2023,Capital Expenditure,Structures Investment,548.0,Billion USD,BEA
2023-01-01,2023,Capital Expenditure,CapEx as % of GDP,17.8,Percent,BEA
2024-01-01,2024,Capital Expenditure,Non-Residential Fixed Investment,2125.0,Billion USD,BEA
2024-01-01,2024,Capital Expenditure,CapEx Growth YoY,5.5,Percent,BEA
2024-01-01,2024,Capital Expenditure,Equipment Investment,728.0,Billion USD,BEA
2024-01-01,2024,Capital Expenditure,Intellectual Property Investment,842.0,Billion USD,BEA
2024-01-01,2024,Capital Expenditure,Structures Investment,555.0,Billion USD,BEA
2024-01-01,2024,Capital Expenditure,CapEx as % of GDP,18.2,Percent,BEA
2025-01-01,2025,Capital Expenditure,Non-Residential Fixed Investment,2245.0,Billion USD,BEA
2025-01-01,2025,Capital Expenditure,CapEx Growth YoY,5.6,Percent,BEA
2025-01-01,2025,Capital Expenditure,Equipment Investment,782.0,Billion USD,BEA
2025-01-01,2025,Capital Expenditure,Intellectual Property Investment,908.0,Billion USD,BEA
2025-01-01,2025,Capital Expenditure,Structures Investment,555.0,Billion USD,BEA
2025-01-01,2025,Capital Expenditure,CapEx as % of GDP,18.5,Percent,BEA
2020-01-01,2020,Productivity,Labor Productivity Growth,4.5,Percent YoY,BLS
2020-01-01,2020,Productivity,Multifactor Productivity Growth,2.2,Percent YoY,BLS
2020-01-01,2020,Productivity,Output per Hour,102.5,Index (2020=100),BLS
2020-01-01,2020,Productivity,Unit Labor Costs Change,2.8,Percent YoY,BLS
2021-01-01,2021,Productivity,Labor Productivity Growth,3.8,Percent YoY,BLS
2021-01-01,2021,Productivity,Multifactor Productivity Growth,1.5,Percent YoY,BLS
2021-01-01,2021,Productivity,Output per Hour,106.2,Index (2020=100),BLS
2021-01-01,2021,Productivity,Unit Labor Costs Change,-1.5,Percent YoY,BLS
2022-01-01,2022,Productivity,Labor Productivity Growth,-2.1,Percent YoY,BLS
2022-01-01,2022,Productivity,Multifactor Productivity Growth,-0.8,Percent YoY,BLS
2022-01-01,2022,Productivity,Output per Hour,103.8,Index (2020=100),BLS
2022-01-01,2022,Productivity,Unit Labor Costs Change,4.2,Percent YoY,BLS
2023-01-01,2023,Productivity,Labor Productivity Growth,1.2,Percent YoY,BLS
2023-01-01,2023,Productivity,Multifactor Productivity Growth,0.5,Percent YoY,BLS
2023-01-01,2023,Productivity,Output per Hour,105.2,Index (2020=100),BLS
2023-01-01,2023,Productivity,Unit Labor Costs Change,2.8,Percent YoY,BLS
2024-01-01,2024,Productivity,Labor Productivity Growth,1.8,Percent YoY,BLS
2024-01-01,2024,Productivity,Multifactor Productivity Growth,0.8,Percent YoY,BLS
2024-01-01,2024,Productivity,Output per Hour,107.1,Index (2020=100),BLS
2024-01-01,2024,Productivity,Unit Labor Costs Change,1.8,Percent YoY,BLS
2025-01-01,2025,Productivity,Labor Productivity Growth,2.2,Percent YoY,BLS
2025-01-01,2025,Productivity,Multifactor Productivity Growth,1.2,Percent YoY,BLS
2025-01-01,2025,Productivity,Output per Hour,109.5,Index (2020=100),BLS
2025-01-01,2025,Productivity,Unit Labor Costs Change,1.5,Percent YoY,BLS
2020-01-01,2020,Business Formation,New Business Applications,48200.0,Count per Month,Census Bureau
2020-01-01,2020,Business Formation,High-Propensity Applications,18500.0,Count per Month,Census Bureau
2020-01-01,2020,Business Formation,Business Bankruptcy Filings,15823.0,Count per Year,US Courts
2020-01-01,2020,Business Formation,Chapter 11 Filings,3125.0,Count per Year,US Courts
2020-01-01,2020,Business Formation,Business Survival Rate,92.5,Percent,SBA
2021-01-01,2021,Business Formation,New Business Applications,62500.0,Count per Month,Census Bureau
2021-01-01,2021,Business Formation,High-Propensity Applications,28900.0,Count per Month,Census Bureau
2021-01-01,2021,Business Formation,Business Bankruptcy Filings,10882.0,Count per Year,US Courts
2021-01-01,2021,Business Formation,Chapter 11 Filings,2125.0,Count per Year,US Courts
2021-01-01,2021,Business Formation,Business Survival Rate,94.2,Percent,SBA
2022-01-01,2022,Business Formation,New Business Applications,58200.0,Count per Month,Census Bureau
2022-01-01,2022,Business Formation,High-Propensity Applications,24500.0,Count per Month,Census Bureau
2022-01-01,2022,Business Formation,Business Bankruptcy Filings,17085.0,Count per Year,US Courts
2022-01-01,2022,Business Formation,Chapter 11 Filings,3285.0,Count per Year,US Courts
2022-01-01,2022,Business Formation,Business Survival Rate,91.8,Percent,SBA
2023-01-01,2023,Business Formation,New Business Applications,61800.0,Count per Month,Census Bureau
2023-01-01,2023,Business Formation,High-Propensity Applications,26200.0,Count per Month,Census Bureau
2023-01-01,2023,Business Formation,Business Bankruptcy Filings,15225.0,Count per Year,US Courts
2023-01-01,2023,Business Formation,Chapter 11 Filings,2958.0,Count per Year,US Courts
2023-01-01,2023,Business Formation,Business Survival Rate,92.5,Percent,SBA
2024-01-01,2024,Business Formation,New Business Applications,66400.0,Count per Month,Census Bureau
2024-01-01,2024,Business Formation,High-Propensity Applications,29500.0,Count per Month,Census Bureau
2024-01-01,2024,Business Formation,Business Bankruptcy Filings,16352.0,Count per Year,US Courts
2024-01-01,2024,Business Formation,Chapter 11 Filings,2885.0,Count per Year,US Courts
2024-01-01,2024,Business Formation,Business Survival Rate,93.2,Percent,SBA
2025-01-01,2025,Business Formation,New Business Applications,71200.0,Count per Month,Census Bureau
2025-01-01,2025,Business Formation,High-Propensity Applications,32800.0,Count per Month,Census Bureau
2025-01-01,2025,Business Formation,Business Bankruptcy Filings,14125.0,Count per Year,US Courts
2025-01-01,2025,Business Formation,Chapter 11 Filings,2425.0,Count per Year,US Courts
2025-01-01,2025,Business Formation,Business Survival Rate,94.5,Percent,SBA
2020-01-01,2020,Inventory & Sales,Business Inventories,1485.0,Billion USD,Census Bureau
2020-01-01,2020,Inventory & Sales,Inventory-to-Sales Ratio,1.45,Ratio,Census Bureau
2020-01-01,2020,Inventory & Sales,Inventory Contribution to GDP,-0.8,Percentage Points,BEA
2020-01-01,2020,Inventory & Sales,Wholesale Inventories,425.0,Billion USD,Census Bureau
2020-01-01,2020,Inventory & Sales,Retail Inventories,625.0,Billion USD,Census Bureau
2021-01-01,2021,Inventory & Sales,Business Inventories,1625.0,Billion USD,Census Bureau
2021-01-01,2021,Inventory & Sales,Inventory-to-Sales Ratio,1.38,Ratio,Census Bureau
2021-01-01,2021,Inventory & Sales,Inventory Contribution to GDP,0.5,Percentage Points,BEA
2021-01-01,2021,Inventory & Sales,Wholesale Inventories,485.0,Billion USD,Census Bureau
2021-01-01,2021,Inventory & Sales,Retail Inventories,705.0,Billion USD,Census Bureau
2022-01-01,2022,Inventory & Sales,Business Inventories,1742.0,Billion USD,Census Bureau
2022-01-01,2022,Inventory & Sales,Inventory-to-Sales Ratio,1.52,Ratio,Census Bureau
2022-01-01,2022,Inventory & Sales,Inventory Contribution to GDP,-0.2,Percentage Points,BEA
2022-01-01,2022,Inventory & Sales,Wholesale Inventories,545.0,Billion USD,Census Bureau
2022-01-01,2022,Inventory & Sales,Retail Inventories,758.0,Billion USD,Census Bureau
2023-01-01,2023,Inventory & Sales,Business Inventories,1825.0,Billion USD,Census Bureau
2023-01-01,2023,Inventory & Sales,Inventory-to-Sales Ratio,1.45,Ratio,Census Bureau
2023-01-01,2023,Inventory & Sales,Inventory Contribution to GDP,0.1,Percentage Points,BEA
2023-01-01,2023,Inventory & Sales,Wholesale Inventories,598.0,Billion USD,Census Bureau
2023-01-01,2023,Inventory & Sales,Retail Inventories,812.0,Billion USD,Census Bureau
2024-01-01,2024,Inventory & Sales,Business Inventories,1945.0,Billion USD,Census Bureau
2024-01-01,2024,Inventory & Sales,Inventory-to-Sales Ratio,1.42,Ratio,Census Bureau
