market_name,submarket_name,property_type,property_class,metric_name,metric_value,metric_unit,period,data_source,confidence_level,notes
Washington DC,Overall,multifamily,A,cap_rate,5.18,%,2024-11-01,Apartment Loan Store,high,
Washington DC,Overall,multifamily,B,cap_rate,5.21,%,2024-11-01,Apartment Loan Store,high,
Washington DC,Overall,multifamily,A,cap_rate_ytd,5.8,%,2024-07-01,Berkadia,high,YTD average
Washington DC,Overall,multifamily,A,average_price_per_unit,351669.0,$/unit,2024-07-01,Berkadia,high,
Washington DC,Overall,multifamily,A,rent_per_unit_studio,1798.0,$/month,2025-06-01,RentHop,medium,
Washington DC,Overall,multifamily,A,rent_per_unit_1br,2399.0,$/month,2025-06-01,RentHop,medium,
Washington DC,Overall,multifamily,A,rent_per_unit_2br,3250.0,$/month,2025-06-01,RentHop,medium,
Washington DC,Overall,office,overall,rent_per_sf_avg,40.0,$/SF/year,2024-01-01,Offices.net,high,
Washington DC,Overall,industrial,all,cap_rate,7.4,%,2024-09-01,JPMorgan Chase,high,Q3 2024
Washington DC,Overall,industrial,all,rent_per_sf,15.0,$/SF/year,2024-01-01,Offices.net,high,
Washington DC,Overall,retail,all,cap_rate,6.5,%,2024-09-01,JPMorgan Chase,high,Q3 2024
Washington DC,Overall,retail,all,rent_per_sf,32.0,$/SF/year,2024-01-01,Offices.net,high,
Washington DC,Overall,all,all,property_tax_rate_effective,1.77,% of FMV,2024-01-01,Altus Group,high,Range 1.65-1.89%
Seattle,Overall,multifamily,A,cap_rate,4.9,%,2024-11-01,Apartment Loan Store,high,Metro A
Seattle,Overall,multifamily,B,cap_rate,4.95,%,2024-11-01,Apartment Loan Store,high,Metro B
Seattle,Overall,multifamily,C,cap_rate,5.6,%,2024-11-01,Apartment Loan Store,high,Metro C
Seattle,Downtown,multifamily,A,rent_per_unit_studio,1475.0,$/month,2024-10-01,Rentable,medium,
Seattle,Downtown,multifamily,A,rent_per_unit_1br,2067.0,$/month,2024-10-01,Rentable,medium,
Seattle,Downtown,multifamily,A,rent_per_unit_2br,3102.0,$/month,2024-10-01,Rentable,medium,
Seattle,Downtown,office,A,cap_rate,7.5,%,2025-03-01,Lee & Associates,high,
Seattle,Downtown,office,A,rent_per_sf,37.28,$/SF/year,2025-03-01,Lee & Associates,high,FSE average
Seattle,Overall,office,overall,rent_per_sf_avg,37.0,$/SF/year,2024-01-01,Offices.net,high,
Seattle,Overall,industrial,all,cap_rate,5.9,%,2024-09-01,JPMorgan Chase,high,Q3 2024
Seattle,Overall,industrial,all,rent_per_sf,18.0,$/SF/year,2024-01-01,Offices.net,high,
Seattle,Overall,retail,all,cap_rate,6.0,%,2024-09-01,JPMorgan Chase,high,Q3 2024
Seattle,Overall,retail,all,rent_per_sf,28.0,$/SF/year,2024-01-01,Offices.net,high,
Austin,Overall,multifamily,A,cap_rate,5.18,%,2024-11-01,Apartment Loan Store,high,
Austin,Overall,multifamily,B,cap_rate,5.21,%,2024-11-01,Apartment Loan Store,high,
Austin,Overall,multifamily,A,rent_per_unit_studio,1229.0,$/month,2024-11-01,Apartments.com,high,
Austin,Overall,multifamily,A,rent_per_unit_1br,1392.0,$/month,2024-11-01,Apartments.com,high,
Austin,Overall,multifamily,A,rent_per_unit_2br,1793.0,$/month,2024-11-01,Apartments.com,high,
