market,zone_type,zone_code,max_far,max_height_feet,min_lot_size_sf,parking_requirement,setback_front_feet,use_restrictions,data_source,effective_date
"Chicago, IL",Industrial,I-1,1.23,44.0,9441,1 space per 1000 SF,15,"Light manufacturing, warehouse",Municipal Zoning Code,2024-01-01
"Chicago, IL",Industrial,I-2,1.75,52.0,7785,0.75 space per 1000 SF,35,"Manufacturing, distribution",Municipal Zoning Code,2024-01-01
"Boston, MA",Residential,R-1,0.45,34.0,6289,2 spaces per unit,15,Single-family detached only,Municipal Zoning Code,2024-01-01
"Boston, MA",Residential,R-2,0.74,31.0,4261,1.5-2 spaces per unit,13,"Single-family, ADUs allowed",Municipal Zoning Code,2024-01-01
"Boston, MA",Residential,R-3,1.45,50.0,3463,1.0-1.5 spaces per unit,13,"Duplex, triplex, fourplex allowed",Municipal Zoning Code,2024-01-01
"Boston, MA",Residential,R-4,2.18,82.0,2004,0.75-1.25 spaces per unit,12,Multifamily up to 6 stories,Municipal Zoning Code,2024-01-01
"Boston, MA",Residential,R-5,6.38,201.0,1858,0.5-1.0 spaces per unit,10,High-rise multifamily allowed,Municipal Zoning Code,2024-01-01
"Boston, MA",Commercial,C-1,1.19,43.0,3914,3-4 spaces per 1000 SF,12,"Retail, office, personal services",Municipal Zoning Code,2024-01-01
"Boston, MA",Commercial,C-2,1.81,75.0,1988,2.5-3.5 spaces per 1000 SF,10,"Broader retail, entertainment",Municipal Zoning Code,2024-01-01
"Boston, MA",Commercial,C-3,4.19,129.0,1614,2.0-3.0 spaces per 1000 SF,8,"Large-format retail, malls",Municipal Zoning Code,2024-01-01
"Boston, MA",Mixed-Use,MX-1,1.82,60.0,1648,1.0 space per unit + 2.0 per 1000 SF commercial,8,"Ground floor retail, upper residential",Municipal Zoning Code,2024-01-01
"Boston, MA",Mixed-Use,MX-2,3.92,120.0,1204,0.75 space per unit + 1.5 per 1000 SF commercial,5,"Residential, retail, office mix",Municipal Zoning Code,2024-01-01
"Boston, MA",Mixed-Use,MX-3,9.23,251.0,771,0.5 space per unit + 1.0 per 1000 SF commercial,2,"Urban mixed-use, minimal setbacks",Municipal Zoning Code,2024-01-01
"Boston, MA",Industrial,I-1,1.16,48.0,8027,1 space per 1000 SF,19,"Light manufacturing, warehouse",Municipal Zoning Code,2024-01-01
"Boston, MA",Industrial,I-2,1.16,79.0,5478,0.75 space per 1000 SF,20,"Manufacturing, distribution",Municipal Zoning Code,2024-01-01
"Boston, MA",Overlay-TOD,TOD-1,6.67,149.0,0,0.25-0.5 spaces per unit (reduced),5,"Transit-adjacent, parking waivers",Municipal Zoning Code,2024-01-01
"Boston, MA",Overlay-Historic,H-1,Underlying zone applies,Underlying zone applies,Underlying zone applies,Underlying zone applies,Underlying zone applies,"Design review required, historic preservation",Municipal Zoning Code,2024-01-01
Washington DC,Residential,R-1,0.37,34.0,7166,2 spaces per unit,16,Single-family detached only,Municipal Zoning Code,2024-01-01
Washington DC,Residential,R-2,0.72,37.0,4136,1.5-2 spaces per unit,16,"Single-family, ADUs allowed",Municipal Zoning Code,2024-01-01
Washington DC,Residential,R-3,1.21,43.0,3904,1.0-1.5 spaces per unit,11,"Duplex, triplex, fourplex allowed",Municipal Zoning Code,2024-01-01
Washington DC,Residential,R-4,3.03,81.0,2535,0.75-1.25 spaces per unit,11,Multifamily up to 6 stories,Municipal Zoning Code,2024-01-01
Washington DC,Residential,R-5,5.0,238.0,1104,0.5-1.0 spaces per unit,5,High-rise multifamily allowed,Municipal Zoning Code,2024-01-01
Washington DC,Commercial,C-1,1.23,47.0,2090,3-4 spaces per 1000 SF,10,"Retail, office, personal services",Municipal Zoning Code,2024-01-01
Washington DC,Commercial,C-2,2.0,55.0,2036,2.5-3.5 spaces per 1000 SF,9,"Broader retail, entertainment",Municipal Zoning Code,2024-01-01
Washington DC,Commercial,C-3,5.22,121.0,1875,2.0-3.0 spaces per 1000 SF,9,"Large-format retail, malls",Municipal Zoning Code,2024-01-01
Washington DC,Mixed-Use,MX-1,1.51,47.0,3308,1.0 space per unit + 2.0 per 1000 SF commercial,9,"Ground floor retail, upper residential",Municipal Zoning Code,2024-01-01
Washington DC,Mixed-Use,MX-2,4.09,113.0,2192,0.75 space per unit + 1.5 per 1000 SF commercial,9,"Residential, retail, office mix",Municipal Zoning Code,2024-01-01
Washington DC,Mixed-Use,MX-3,6.89,175.0,1131,0.5 space per unit + 1.0 per 1000 SF commercial,2,"Urban mixed-use, minimal setbacks",Municipal Zoning Code,2024-01-01
Washington DC,Industrial,I-1,1.17,47.0,5326,1 space per 1000 SF,20,"Light manufacturing, warehouse",Municipal Zoning Code,2024-01-01
Washington DC,Industrial,I-2,1.21,59.0,3842,0.75 space per 1000 SF,31,"Manufacturing, distribution",Municipal Zoning Code,2024-01-01
Washington DC,Overlay-TOD,TOD-1,7.12,187.0,0,0.25-0.5 spaces per unit (reduced),3,"Transit-adjacent, parking waivers",Municipal Zoning Code,2024-01-01
Washington DC,Overlay-Historic,H-1,Underlying zone applies,Underlying zone applies,Underlying zone applies,Underlying zone applies,Underlying zone applies,"Design review required, historic preservation",Municipal Zoning Code,2024-01-01
"Seattle, WA",Residential,R-1,0.54,32.0,6939,2 spaces per unit,17,Single-family detached only,Municipal Zoning Code,2024-01-01
"Seattle, WA",Residential,R-2,0.74,38.0,5188,1.5-2 spaces per unit,12,"Single-family, ADUs allowed",Municipal Zoning Code,2024-01-01
"Seattle, WA",Residential,R-3,1.13,54.0,4186,1.0-1.5 spaces per unit,15,"Duplex, triplex, fourplex allowed",Municipal Zoning Code,2024-01-01
"Seattle, WA",Residential,R-4,3.3,79.0,2046,0.75-1.25 spaces per unit,9,Multifamily up to 6 stories,Municipal Zoning Code,2024-01-01
"Seattle, WA",Residential,R-5,7.15,134.0,1079,0.5-1.0 spaces per unit,8,High-rise multifamily allowed,Municipal Zoning Code,2024-01-01
"Seattle, WA",Commercial,C-1,0.92,47.0,2942,3-4 spaces per 1000 SF,12,"Retail, office, personal services",Municipal Zoning Code,2024-01-01
"Seattle, WA",Commercial,C-2,1.96,78.0,1966,2.5-3.5 spaces per 1000 SF,9,"Broader retail, entertainment",Municipal Zoning Code,2024-01-01
"Seattle, WA",Commercial,C-3,3.07,98.0,1672,2.0-3.0 spaces per 1000 SF,7,"Large-format retail, malls",Municipal Zoning Code,2024-01-01
"Seattle, WA",Mixed-Use,MX-1,2.36,64.0,2071,1.0 space per unit + 2.0 per 1000 SF commercial,10,"Ground floor retail, upper residential",Municipal Zoning Code,2024-01-01
"Seattle, WA",Mixed-Use,MX-2,4.28,93.0,2098,0.75 space per unit + 1.5 per 1000 SF commercial,7,"Residential, retail, office mix",Municipal Zoning Code,2024-01-01
"Seattle, WA",Mixed-Use,MX-3,11.64,173.0,1034,0.5 space per unit + 1.0 per 1000 SF commercial,1,"Urban mixed-use, minimal setbacks",Municipal Zoning Code,2024-01-01
"Seattle, WA",Industrial,I-1,0.94,50.0,5313,1 space per 1000 SF,16,"Light manufacturing, warehouse",Municipal Zoning Code,2024-01-01
"Seattle, WA",Industrial,I-2,1.6,62.0,5569,0.75 space per 1000 SF,33,"Manufacturing, distribution",Municipal Zoning Code,2024-01-01
"Seattle, WA",Overlay-TOD,TOD-1,6.42,144.0,0,0.25-0.5 spaces per unit (reduced),3,"Transit-adjacent, parking waivers",Municipal Zoning Code,2024-01-01
"Seattle, WA",Overlay-Historic,H-1,Underlying zone applies,Underlying zone applies,Underlying zone applies,Underlying zone applies,Underlying zone applies,"Design review required, historic preservation",Municipal Zoning Code,2024-01-01
"Austin, TX",Residential,R-1,0.53,27.0,5363,2 spaces per unit,21,Single-family detached only,Municipal Zoning Code,2024-01-01
"Austin, TX",Residential,R-2,0.5,39.0,5705,1.5-2 spaces per unit,15,"Single-family, ADUs allowed",Municipal Zoning Code,2024-01-01
"Austin, TX",Residential,R-3,1.27,41.0,3852,1.0-1.5 spaces per unit,14,"Duplex, triplex, fourplex allowed",Municipal Zoning Code,2024-01-01
"Austin, TX",Residential,R-4,2.47,80.0,2974,0.75-1.25 spaces per unit,10,Multifamily up to 6 stories,Municipal Zoning Code,2024-01-01
"Austin, TX",Residential,R-5,6.03,207.0,1668,0.5-1.0 spaces per unit,8,High-rise multifamily allowed,Municipal Zoning Code,2024-01-01
"Austin, TX",Commercial,C-1,1.27,43.0,2392,3-4 spaces per 1000 SF,13,"Retail, office, personal services",Municipal Zoning Code,2024-01-01
"Austin, TX",Commercial,C-2,2.5,63.0,3032,2.5-3.5 spaces per 1000 SF,9,"Broader retail, entertainment",Municipal Zoning Code,2024-01-01
"Austin, TX",Commercial,C-3,4.85,105.0,2122,2.0-3.0 spaces per 1000 SF,5,"Large-format retail, malls",Municipal Zoning Code,2024-01-01
"Austin, TX",Mixed-Use,MX-1,1.8,49.0,3109,1.0 space per unit + 2.0 per 1000 SF commercial,12,"Ground floor retail, upper residential",Municipal Zoning Code,2024-01-01
"Austin, TX",Mixed-Use,MX-2,4.21,90.0,1904,0.75 space per unit + 1.5 per 1000 SF commercial,8,"Residential, retail, office mix",Municipal Zoning Code,2024-01-01
"Austin, TX",Mixed-Use,MX-3,10.05,252.0,847,0.5 space per unit + 1.0 per 1000 SF commercial,5,"Urban mixed-use, minimal setbacks",Municipal Zoning Code,2024-01-01
"Austin, TX",Industrial,I-1,0.56,43.0,7745,1 space per 1000 SF,16,"Light manufacturing, warehouse",Municipal Zoning Code,2024-01-01
"Austin, TX",Industrial,I-2,1.82,76.0,5542,0.75 space per 1000 SF,27,"Manufacturing, distribution",Municipal Zoning Code,2024-01-01
"Denver, CO",Residential,R-1,0.51,26.0,5378,2 spaces per unit,18,Single-family detached only,Municipal Zoning Code,2024-01-01
"Denver, CO",Residential,R-2,0.75,36.0,3798,1.5-2 spaces per unit,19,"Single-family, ADUs allowed",Municipal Zoning Code,2024-01-01
"Denver, CO",Residential,R-3,1.31,49.0,3296,1.0-1.5 spaces per unit,15,"Duplex, triplex, fourplex allowed",Municipal Zoning Code,2024-01-01
"Denver, CO",Residential,R-4,3.04,70.0,1999,0.75-1.25 spaces per unit,9,Multifamily up to 6 stories,Municipal Zoning Code,2024-01-01
"Denver, CO",Residential,R-5,6.62,121.0,1218,0.5-1.0 spaces per unit,8,High-rise multifamily allowed,Municipal Zoning Code,2024-01-01
"Denver, CO",Commercial,C-1,0.91,47.0,3425,3-4 spaces per 1000 SF,14,"Retail, office, personal services",Municipal Zoning Code,2024-01-01
"Denver, CO",Commercial,C-2,2.2,70.0,3378,2.5-3.5 spaces per 1000 SF,8,"Broader retail, entertainment",Municipal Zoning Code,2024-01-01
"Denver, CO",Commercial,C-3,4.37,137.0,2367,2.0-3.0 spaces per 1000 SF,9,"Large-format retail, malls",Municipal Zoning Code,2024-01-01
"Denver, CO",Mixed-Use,MX-1,2.49,57.0,3445,1.0 space per unit + 2.0 per 1000 SF commercial,11,"Ground floor retail, upper residential",Municipal Zoning Code,2024-01-01
"Denver, CO",Mixed-Use,MX-2,4.23,107.0,2033,0.75 space per unit + 1.5 per 1000 SF commercial,8,"Residential, retail, office mix",Municipal Zoning Code,2024-01-01
"Denver, CO",Mixed-Use,MX-3,10.98,260.0,825,0.5 space per unit + 1.0 per 1000 SF commercial,5,"Urban mixed-use, minimal setbacks",Municipal Zoning Code,2024-01-01
"Denver, CO",Industrial,I-1,1.15,42.0,7025,1 space per 1000 SF,25,"Light manufacturing, warehouse",Municipal Zoning Code,2024-01-01
"Denver, CO",Industrial,I-2,1.28,77.0,6969,0.75 space per 1000 SF,27,"Manufacturing, distribution",Municipal Zoning Code,2024-01-01
"Dallas, TX",Residential,R-1,0.4,26.0,7340,2 spaces per unit,18,Single-family detached only,Municipal Zoning Code,2024-01-01
"Dallas, TX",Residential,R-2,0.57,33.0,5712,1.5-2 spaces per unit,13,"Single-family, ADUs allowed",Municipal Zoning Code,2024-01-01
"Dallas, TX",Residential,R-3,1.1,43.0,3125,1.0-1.5 spaces per unit,15,"Duplex, triplex, fourplex allowed",Municipal Zoning Code,2024-01-01
"Dallas, TX",Residential,R-4,2.32,67.0,2177,0.75-1.25 spaces per unit,12,Multifamily up to 6 stories,Municipal Zoning Code,2024-01-01
"Dallas, TX",Residential,R-5,5.86,128.0,1860,0.5-1.0 spaces per unit,8,High-rise multifamily allowed,Municipal Zoning Code,2024-01-01
"Dallas, TX",Commercial,C-1,1.43,44.0,3424,3-4 spaces per 1000 SF,10,"Retail, office, personal services",Municipal Zoning Code,2024-01-01
"Dallas, TX",Commercial,C-2,2.79,77.0,2279,2.5-3.5 spaces per 1000 SF,11,"Broader retail, entertainment",Municipal Zoning Code,2024-01-01
"Dallas, TX",Commercial,C-3,3.02,108.0,2543,2.0-3.0 spaces per 1000 SF,8,"Large-format retail, malls",Municipal Zoning Code,2024-01-01
"Dallas, TX",Mixed-Use,MX-1,2.35,64.0,2358,1.0 space per unit + 2.0 per 1000 SF commercial,12,"Ground floor retail, upper residential",Municipal Zoning Code,2024-01-01
"Dallas, TX",Mixed-Use,MX-2,4.5,100.0,2235,0.75 space per unit + 1.5 per 1000 SF commercial,6,"Residential, retail, office mix",Municipal Zoning Code,2024-01-01
"Dallas, TX",Mixed-Use,MX-3,8.93,205.0,1494,0.5 space per unit + 1.0 per 1000 SF commercial,0,"Urban mixed-use, minimal setbacks",Municipal Zoning Code,2024-01-01
"Dallas, TX",Industrial,I-1,0.79,45.0,8312,1 space per 1000 SF,17,"Light manufacturing, warehouse",Municipal Zoning Code,2024-01-01
"Dallas, TX",Industrial,I-2,1.84,82.0,7375,0.75 space per 1000 SF,20,"Manufacturing, distribution",Municipal Zoning Code,2024-01-01
"Atlanta, GA",Residential,R-1,0.53,31.0,5222,2 spaces per unit,16,Single-family detached only,Municipal Zoning Code,2024-01-01
"Atlanta, GA",Residential,R-2,0.66,31.0,5391,1.5-2 spaces per unit,14,"Single-family, ADUs allowed",Municipal Zoning Code,2024-01-01
"Atlanta, GA",Residential,R-3,1.04,46.0,3366,1.0-1.5 spaces per unit,13,"Duplex, triplex, fourplex allowed",Municipal Zoning Code,2024-01-01
"Atlanta, GA",Residential,R-4,2.49,78.0,2276,0.75-1.25 spaces per unit,10,Multifamily up to 6 stories,Municipal Zoning Code,2024-01-01
"Atlanta, GA",Residential,R-5,7.01,228.0,1516,0.5-1.0 spaces per unit,5,High-rise multifamily allowed,Municipal Zoning Code,2024-01-01
"Atlanta, GA",Commercial,C-1,1.1,46.0,2106,3-4 spaces per 1000 SF,12,"Retail, office, personal services",Municipal Zoning Code,2024-01-01
"Atlanta, GA",Commercial,C-2,1.84,52.0,3460,2.5-3.5 spaces per 1000 SF,8,"Broader retail, entertainment",Municipal Zoning Code,2024-01-01
"Atlanta, GA",Commercial,C-3,5.26,147.0,1408,2.0-3.0 spaces per 1000 SF,5,"Large-format retail, malls",Municipal Zoning Code,2024-01-01
"Atlanta, GA",Mixed-Use,MX-1,2.12,50.0,2469,1.0 space per unit + 2.0 per 1000 SF commercial,8,"Ground floor retail, upper residential",Municipal Zoning Code,2024-01-01
"Atlanta, GA",Mixed-Use,MX-2,4.13,85.0,2432,0.75 space per unit + 1.5 per 1000 SF commercial,7,"Residential, retail, office mix",Municipal Zoning Code,2024-01-01
"Atlanta, GA",Mixed-Use,MX-3,10.6,184.0,1743,0.5 space per unit + 1.0 per 1000 SF commercial,5,"Urban mixed-use, minimal setbacks",Municipal Zoning Code,2024-01-01
"Atlanta, GA",Industrial,I-1,1.04,47.0,6341,1 space per 1000 SF,19,"Light manufacturing, warehouse",Municipal Zoning Code,2024-01-01
"Atlanta, GA",Industrial,I-2,1.11,51.0,5555,0.75 space per 1000 SF,32,"Manufacturing, distribution",Municipal Zoning Code,2024-01-01
"Phoenix, AZ",Residential,R-1,0.43,32.0,5622,2 spaces per unit,24,Single-family detached only,Municipal Zoning Code,2024-01-01
"Phoenix, AZ",Residential,R-2,0.67,36.0,3917,1.5-2 spaces per unit,16,"Single-family, ADUs allowed",Municipal Zoning Code,2024-01-01
"Phoenix, AZ",Residential,R-3,1.64,49.0,2995,1.0-1.5 spaces per unit,14,"Duplex, triplex, fourplex allowed",Municipal Zoning Code,2024-01-01
"Phoenix, AZ",Residential,R-4,3.17,65.0,2377,0.75-1.25 spaces per unit,10,Multifamily up to 6 stories,Municipal Zoning Code,2024-01-01
"Phoenix, AZ",Residential,R-5,4.28,204.0,1025,0.5-1.0 spaces per unit,8,High-rise multifamily allowed,Municipal Zoning Code,2024-01-01
"Phoenix, AZ",Commercial,C-1,1.37,37.0,3967,3-4 spaces per 1000 SF,12,"Retail, office, personal services",Municipal Zoning Code,2024-01-01
"Phoenix, AZ",Commercial,C-2,2.45,79.0,2948,2.5-3.5 spaces per 1000 SF,9,"Broader retail, entertainment",Municipal Zoning Code,2024-01-01
"Phoenix, AZ",Commercial,C-3,4.31,133.0,2977,2.0-3.0 spaces per 1000 SF,10,"Large-format retail, malls",Municipal Zoning Code,2024-01-01
