market_name,neighborhood_name,score_category,score_value,rank_within_market,rank_nationally,data_source,period,notes
NYC,Manhattan - Upper West Side,amenity_score,91.0,5,17,Google Places / Yelp,2025-01-01,"Restaurants, retail, entertainment density"
NYC,Manhattan - Upper West Side,demographic_quality_score,88.0,5,17,Census ACS 2024,2024-12-31,"Income, education, age demographics"
NYC,Manhattan - Upper West Side,employment_economic_score,82.0,5,17,Labor Bureau / Tech Data,2024-12-31,"Job density, high-paying industries"
NYC,Manhattan - Upper West Side,real_estate_momentum_score,79.0,5,17,Zillow / Redfin,2024-11-01,"Price appreciation, rent growth"
NYC,Manhattan - Upper West Side,development_investment_score,76.0,5,17,City Planning / CRE,2024-12-31,"Construction, redevelopment projects"
NYC,Manhattan - Upper West Side,livability_safety_score,87.0,5,17,FBI Crime Data / NYPD,2024-11-01,"Crime rates, public safety"
NYC,Manhattan - Upper West Side,cultural_vibrancy_score,88.0,5,17,Cultural Institutions,2024-12-31,"Arts, music, events, nightlife"
NYC,Manhattan - Upper West Side,future_growth_catalysts_score,70.0,5,17,Development Pipeline,2024-12-31,"Planned transit, redevelopment"
NYC,Manhattan - Upper West Side,composite_overall_score,83.2,5,17,Weighted Average,2024-12-31,Overall neighborhood quality
NYC,Manhattan - Upper West Side,investor_attractiveness_score,76.8,5,17,Investment Analysis,2024-12-31,Investment opportunity rating
NYC,Manhattan - Upper West Side,resident_desirability_score,88.5,5,17,Lifestyle Index,2024-12-31,Quality of life for residents
NYC,Manhattan - Upper West Side,value_add_potential_score,80.0,5,17,Growth Potential,2024-12-31,Value appreciation opportunity
NYC,Manhattan - Upper West Side,transit_connectivity_score,91.0,5,17,MTA / Transit Authority,2025-01-01,"Subway/bus lines, frequency"
NYC,Manhattan - Upper West Side,restaurant_density_per_1000,72.8,5,17,Yelp API,2025-01-01,Restaurants per 1000 residents
NYC,Manhattan - Upper West Side,median_household_income_thousands,220.0,5,17,Census ACS 2024,2024-12-31,Median HHI in thousands USD
NYC,Manhattan - Upper West Side,bachelor_degree_plus_pct,79.2,5,17,Census ACS 2024,2024-12-31,% with bachelor's degree or higher
NYC,Manhattan - Upper West Side,job_density_per_sq_mile,41000.0,5,17,BLS / LEHD,2024-12-31,Jobs per square mile
NYC,Manhattan - Upper West Side,year_over_year_price_appreciation_pct,11.8,5,17,Zillow Home Value Index,2024-11-01,YoY home price appreciation %
NYC,Manhattan - Upper West Side,new_construction_permits_ytd,760.0,5,17,NYC DOB,2024-12-31,New construction permits YTD 2024
NYC,Manhattan - Upper West Side,crime_rate_per_1000_residents,6.5,5,17,NYPD CompStat,2024-11-01,Crimes per 1000 residents (lower is better)
NYC,Manhattan - Upper West Side,green_space_acres_per_1000,13.0,5,17,NYC Parks Dept,2024-12-31,Park/green space acres per 1000 residents
NYC,Manhattan - Upper West Side,walkability_index,88.0,5,17,Walk Score,2025-01-01,Walk Score walkability index
NYC,Manhattan - Upper West Side,avg_commute_time_minutes,6.0,5,17,Census ACS,2024-12-31,Average commute time to Manhattan CBD
NYC,Manhattan - Upper West Side,coffee_shops_per_1000,22.8,5,17,Yelp / Google Places,2025-01-01,Coffee shops per 1000 residents
NYC,Manhattan - Greenwich Village,accessibility_score,92.0,6,9,Walk Score / Transit Data,2025-01-01,Walkability and transit access
NYC,Manhattan - Greenwich Village,amenity_score,94.0,6,9,Google Places / Yelp,2025-01-01,"Restaurants, retail, entertainment density"
NYC,Manhattan - Greenwich Village,demographic_quality_score,86.0,6,9,Census ACS 2024,2024-12-31,"Income, education, age demographics"
NYC,Manhattan - Greenwich Village,employment_economic_score,84.0,6,9,Labor Bureau / Tech Data,2024-12-31,"Job density, high-paying industries"
NYC,Manhattan - Greenwich Village,real_estate_momentum_score,82.0,6,9,Zillow / Redfin,2024-11-01,"Price appreciation, rent growth"
NYC,Manhattan - Greenwich Village,development_investment_score,78.0,6,9,City Planning / CRE,2024-12-31,"Construction, redevelopment projects"
NYC,Manhattan - Greenwich Village,livability_safety_score,84.0,6,9,FBI Crime Data / NYPD,2024-11-01,"Crime rates, public safety"
NYC,Manhattan - Greenwich Village,cultural_vibrancy_score,95.0,6,9,Cultural Institutions,2024-12-31,"Arts, music, events, nightlife"
NYC,Manhattan - Greenwich Village,future_growth_catalysts_score,72.0,6,9,Development Pipeline,2024-12-31,"Planned transit, redevelopment"
NYC,Manhattan - Greenwich Village,composite_overall_score,85.2,6,9,Weighted Average,2024-12-31,Overall neighborhood quality
NYC,Manhattan - Greenwich Village,investor_attractiveness_score,79.0,6,9,Investment Analysis,2024-12-31,Investment opportunity rating
NYC,Manhattan - Greenwich Village,resident_desirability_score,91.2,6,9,Lifestyle Index,2024-12-31,Quality of life for residents
NYC,Manhattan - Greenwich Village,value_add_potential_score,76.0,6,9,Growth Potential,2024-12-31,Value appreciation opportunity
NYC,Manhattan - Greenwich Village,transit_connectivity_score,95.0,6,9,MTA / Transit Authority,2025-01-01,"Subway/bus lines, frequency"
NYC,Manhattan - Greenwich Village,restaurant_density_per_1000,75.2,6,9,Yelp API,2025-01-01,Restaurants per 1000 residents
NYC,Manhattan - Greenwich Village,median_household_income_thousands,215.0,6,9,Census ACS 2024,2024-12-31,Median HHI in thousands USD
NYC,Manhattan - Greenwich Village,bachelor_degree_plus_pct,77.4,6,9,Census ACS 2024,2024-12-31,% with bachelor's degree or higher
NYC,Manhattan - Greenwich Village,job_density_per_sq_mile,42000.0,6,9,BLS / LEHD,2024-12-31,Jobs per square mile
NYC,Manhattan - Greenwich Village,year_over_year_price_appreciation_pct,12.3,6,9,Zillow Home Value Index,2024-11-01,YoY home price appreciation %
NYC,Manhattan - Greenwich Village,new_construction_permits_ytd,780.0,6,9,NYC DOB,2024-12-31,New construction permits YTD 2024
NYC,Manhattan - Greenwich Village,crime_rate_per_1000_residents,8.0,6,9,NYPD CompStat,2024-11-01,Crimes per 1000 residents (lower is better)
NYC,Manhattan - Greenwich Village,green_space_acres_per_1000,12.6,6,9,NYC Parks Dept,2024-12-31,Park/green space acres per 1000 residents
NYC,Manhattan - Greenwich Village,walkability_index,92.0,6,9,Walk Score,2025-01-01,Walk Score walkability index
NYC,Manhattan - Greenwich Village,avg_commute_time_minutes,4.0,6,9,Census ACS,2024-12-31,Average commute time to Manhattan CBD
NYC,Manhattan - Greenwich Village,coffee_shops_per_1000,23.5,6,9,Yelp / Google Places,2025-01-01,Coffee shops per 1000 residents
NYC,Manhattan - SoHo,accessibility_score,91.0,7,10,Walk Score / Transit Data,2025-01-01,Walkability and transit access
NYC,Manhattan - SoHo,amenity_score,95.0,7,10,Google Places / Yelp,2025-01-01,"Restaurants, retail, entertainment density"
NYC,Manhattan - SoHo,demographic_quality_score,85.0,7,10,Census ACS 2024,2024-12-31,"Income, education, age demographics"
NYC,Manhattan - SoHo,employment_economic_score,86.0,7,10,Labor Bureau / Tech Data,2024-12-31,"Job density, high-paying industries"
NYC,Manhattan - SoHo,real_estate_momentum_score,84.0,7,10,Zillow / Redfin,2024-11-01,"Price appreciation, rent growth"
NYC,Manhattan - SoHo,development_investment_score,80.0,7,10,City Planning / CRE,2024-12-31,"Construction, redevelopment projects"
NYC,Manhattan - SoHo,livability_safety_score,82.0,7,10,FBI Crime Data / NYPD,2024-11-01,"Crime rates, public safety"
NYC,Manhattan - SoHo,cultural_vibrancy_score,93.0,7,10,Cultural Institutions,2024-12-31,"Arts, music, events, nightlife"
NYC,Manhattan - SoHo,future_growth_catalysts_score,74.0,7,10,Development Pipeline,2024-12-31,"Planned transit, redevelopment"
NYC,Manhattan - SoHo,composite_overall_score,85.6,7,10,Weighted Average,2024-12-31,Overall neighborhood quality
NYC,Manhattan - SoHo,investor_attractiveness_score,81.0,7,10,Investment Analysis,2024-12-31,Investment opportunity rating
NYC,Manhattan - SoHo,resident_desirability_score,90.2,7,10,Lifestyle Index,2024-12-31,Quality of life for residents
NYC,Manhattan - SoHo,value_add_potential_score,72.0,7,10,Growth Potential,2024-12-31,Value appreciation opportunity
NYC,Manhattan - SoHo,transit_connectivity_score,94.0,7,10,MTA / Transit Authority,2025-01-01,"Subway/bus lines, frequency"
NYC,Manhattan - SoHo,restaurant_density_per_1000,76.0,7,10,Yelp API,2025-01-01,Restaurants per 1000 residents
NYC,Manhattan - SoHo,median_household_income_thousands,212.0,7,10,Census ACS 2024,2024-12-31,Median HHI in thousands USD
NYC,Manhattan - SoHo,bachelor_degree_plus_pct,76.5,7,10,Census ACS 2024,2024-12-31,% with bachelor's degree or higher
NYC,Manhattan - SoHo,job_density_per_sq_mile,43000.0,7,10,BLS / LEHD,2024-12-31,Jobs per square mile
NYC,Manhattan - SoHo,year_over_year_price_appreciation_pct,12.6,7,10,Zillow Home Value Index,2024-11-01,YoY home price appreciation %
NYC,Manhattan - SoHo,new_construction_permits_ytd,800.0,7,10,NYC DOB,2024-12-31,New construction permits YTD 2024
NYC,Manhattan - SoHo,crime_rate_per_1000_residents,9.0,7,10,NYPD CompStat,2024-11-01,Crimes per 1000 residents (lower is better)
NYC,Manhattan - SoHo,green_space_acres_per_1000,12.3,7,10,NYC Parks Dept,2024-12-31,Park/green space acres per 1000 residents
NYC,Manhattan - SoHo,walkability_index,91.0,7,10,Walk Score,2025-01-01,Walk Score walkability index
NYC,Manhattan - SoHo,avg_commute_time_minutes,4.0,7,10,Census ACS,2024-12-31,Average commute time to Manhattan CBD
NYC,Manhattan - SoHo,coffee_shops_per_1000,23.8,7,10,Yelp / Google Places,2025-01-01,Coffee shops per 1000 residents
NYC,Manhattan - Chelsea,accessibility_score,90.0,8,11,Walk Score / Transit Data,2025-01-01,Walkability and transit access
NYC,Manhattan - Chelsea,amenity_score,92.0,8,11,Google Places / Yelp,2025-01-01,"Restaurants, retail, entertainment density"
NYC,Manhattan - Chelsea,demographic_quality_score,84.0,8,11,Census ACS 2024,2024-12-31,"Income, education, age demographics"
NYC,Manhattan - Chelsea,employment_economic_score,88.0,8,11,Labor Bureau / Tech Data,2024-12-31,"Job density, high-paying industries"
NYC,Manhattan - Chelsea,real_estate_momentum_score,83.0,8,11,Zillow / Redfin,2024-11-01,"Price appreciation, rent growth"
NYC,Manhattan - Chelsea,development_investment_score,82.0,8,11,City Planning / CRE,2024-12-31,"Construction, redevelopment projects"
NYC,Manhattan - Chelsea,livability_safety_score,83.0,8,11,FBI Crime Data / NYPD,2024-11-01,"Crime rates, public safety"
NYC,Manhattan - Chelsea,cultural_vibrancy_score,87.0,8,11,Cultural Institutions,2024-12-31,"Arts, music, events, nightlife"
NYC,Manhattan - Chelsea,future_growth_catalysts_score,76.0,8,11,Development Pipeline,2024-12-31,"Planned transit, redevelopment"
NYC,Manhattan - Chelsea,composite_overall_score,85.0,8,11,Weighted Average,2024-12-31,Overall neighborhood quality
NYC,Manhattan - Chelsea,investor_attractiveness_score,82.2,8,11,Investment Analysis,2024-12-31,Investment opportunity rating
NYC,Manhattan - Chelsea,resident_desirability_score,88.0,8,11,Lifestyle Index,2024-12-31,Quality of life for residents
NYC,Manhattan - Chelsea,value_add_potential_score,68.0,8,11,Growth Potential,2024-12-31,Value appreciation opportunity
NYC,Manhattan - Chelsea,transit_connectivity_score,93.0,8,11,MTA / Transit Authority,2025-01-01,"Subway/bus lines, frequency"
NYC,Manhattan - Chelsea,restaurant_density_per_1000,73.6,8,11,Yelp API,2025-01-01,Restaurants per 1000 residents
NYC,Manhattan - Chelsea,median_household_income_thousands,210.0,8,11,Census ACS 2024,2024-12-31,Median HHI in thousands USD
NYC,Manhattan - Chelsea,bachelor_degree_plus_pct,75.6,8,11,Census ACS 2024,2024-12-31,% with bachelor's degree or higher
NYC,Manhattan - Chelsea,job_density_per_sq_mile,44000.0,8,11,BLS / LEHD,2024-12-31,Jobs per square mile
NYC,Manhattan - Chelsea,year_over_year_price_appreciation_pct,12.4,8,11,Zillow Home Value Index,2024-11-01,YoY home price appreciation %
NYC,Manhattan - Chelsea,new_construction_permits_ytd,820.0,8,11,NYC DOB,2024-12-31,New construction permits YTD 2024
NYC,Manhattan - Chelsea,crime_rate_per_1000_residents,8.5,8,11,NYPD CompStat,2024-11-01,Crimes per 1000 residents (lower is better)
NYC,Manhattan - Chelsea,green_space_acres_per_1000,12.4,8,11,NYC Parks Dept,2024-12-31,Park/green space acres per 1000 residents
NYC,Manhattan - Chelsea,walkability_index,90.0,8,11,Walk Score,2025-01-01,Walk Score walkability index
NYC,Manhattan - Chelsea,avg_commute_time_minutes,5.0,8,11,Census ACS,2024-12-31,Average commute time to Manhattan CBD
NYC,Manhattan - Chelsea,coffee_shops_per_1000,23.0,8,11,Yelp / Google Places,2025-01-01,Coffee shops per 1000 residents
NYC,Manhattan - East Village,accessibility_score,89.0,9,8,Walk Score / Transit Data,2025-01-01,Walkability and transit access
NYC,Manhattan - East Village,amenity_score,90.0,9,8,Google Places / Yelp,2025-01-01,"Restaurants, retail, entertainment density"
NYC,Manhattan - East Village,demographic_quality_score,80.0,9,8,Census ACS 2024,2024-12-31,"Income, education, age demographics"
NYC,Manhattan - East Village,employment_economic_score,82.0,9,8,Labor Bureau / Tech Data,2024-12-31,"Job density, high-paying industries"
NYC,Manhattan - East Village,real_estate_momentum_score,85.0,9,8,Zillow / Redfin,2024-11-01,"Price appreciation, rent growth"
NYC,Manhattan - East Village,development_investment_score,83.0,9,8,City Planning / CRE,2024-12-31,"Construction, redevelopment projects"
NYC,Manhattan - East Village,livability_safety_score,80.0,9,8,FBI Crime Data / NYPD,2024-11-01,"Crime rates, public safety"
NYC,Manhattan - East Village,cultural_vibrancy_score,94.0,9,8,Cultural Institutions,2024-12-31,"Arts, music, events, nightlife"
NYC,Manhattan - East Village,future_growth_catalysts_score,78.0,9,8,Development Pipeline,2024-12-31,"Planned transit, redevelopment"
NYC,Manhattan - East Village,composite_overall_score,84.6,9,8,Weighted Average,2024-12-31,Overall neighborhood quality
NYC,Manhattan - East Village,investor_attractiveness_score,82.0,9,8,Investment Analysis,2024-12-31,Investment opportunity rating
NYC,Manhattan - East Village,resident_desirability_score,88.2,9,8,Lifestyle Index,2024-12-31,Quality of life for residents
NYC,Manhattan - East Village,value_add_potential_score,64.0,9,8,Growth Potential,2024-12-31,Value appreciation opportunity
NYC,Manhattan - East Village,transit_connectivity_score,92.0,9,8,MTA / Transit Authority,2025-01-01,"Subway/bus lines, frequency"
NYC,Manhattan - East Village,restaurant_density_per_1000,72.0,9,8,Yelp API,2025-01-01,Restaurants per 1000 residents
NYC,Manhattan - East Village,median_household_income_thousands,200.0,9,8,Census ACS 2024,2024-12-31,Median HHI in thousands USD
NYC,Manhattan - East Village,bachelor_degree_plus_pct,72.0,9,8,Census ACS 2024,2024-12-31,% with bachelor's degree or higher
NYC,Manhattan - East Village,job_density_per_sq_mile,41000.0,9,8,BLS / LEHD,2024-12-31,Jobs per square mile
NYC,Manhattan - East Village,year_over_year_price_appreciation_pct,12.8,9,8,Zillow Home Value Index,2024-11-01,YoY home price appreciation %
NYC,Manhattan - East Village,new_construction_permits_ytd,830.0,9,8,NYC DOB,2024-12-31,New construction permits YTD 2024
NYC,Manhattan - East Village,crime_rate_per_1000_residents,10.0,9,8,NYPD CompStat,2024-11-01,Crimes per 1000 residents (lower is better)
NYC,Manhattan - East Village,green_space_acres_per_1000,12.0,9,8,NYC Parks Dept,2024-12-31,Park/green space acres per 1000 residents
NYC,Manhattan - East Village,walkability_index,89.0,9,8,Walk Score,2025-01-01,Walk Score walkability index
NYC,Manhattan - East Village,avg_commute_time_minutes,6.0,9,8,Census ACS,2024-12-31,Average commute time to Manhattan CBD
NYC,Manhattan - East Village,coffee_shops_per_1000,22.5,9,8,Yelp / Google Places,2025-01-01,Coffee shops per 1000 residents
NYC,Manhattan - NoHo,accessibility_score,88.0,10,7,Walk Score / Transit Data,2025-01-01,Walkability and transit access
NYC,Manhattan - NoHo,amenity_score,91.0,10,7,Google Places / Yelp,2025-01-01,"Restaurants, retail, entertainment density"
NYC,Manhattan - NoHo,demographic_quality_score,82.0,10,7,Census ACS 2024,2024-12-31,"Income, education, age demographics"
NYC,Manhattan - NoHo,employment_economic_score,85.0,10,7,Labor Bureau / Tech Data,2024-12-31,"Job density, high-paying industries"
NYC,Manhattan - NoHo,real_estate_momentum_score,86.0,10,7,Zillow / Redfin,2024-11-01,"Price appreciation, rent growth"
NYC,Manhattan - NoHo,development_investment_score,84.0,10,7,City Planning / CRE,2024-12-31,"Construction, redevelopment projects"
NYC,Manhattan - NoHo,livability_safety_score,81.0,10,7,FBI Crime Data / NYPD,2024-11-01,"Crime rates, public safety"
NYC,Manhattan - NoHo,cultural_vibrancy_score,90.0,10,7,Cultural Institutions,2024-12-31,"Arts, music, events, nightlife"
NYC,Manhattan - NoHo,future_growth_catalysts_score,80.0,10,7,Development Pipeline,2024-12-31,"Planned transit, redevelopment"
NYC,Manhattan - NoHo,composite_overall_score,85.2,10,7,Weighted Average,2024-12-31,Overall neighborhood quality
NYC,Manhattan - NoHo,investor_attractiveness_score,83.8,10,7,Investment Analysis,2024-12-31,Investment opportunity rating
NYC,Manhattan - NoHo,resident_desirability_score,87.5,10,7,Lifestyle Index,2024-12-31,Quality of life for residents
NYC,Manhattan - NoHo,value_add_potential_score,60.0,10,7,Growth Potential,2024-12-31,Value appreciation opportunity
NYC,Manhattan - NoHo,transit_connectivity_score,91.0,10,7,MTA / Transit Authority,2025-01-01,"Subway/bus lines, frequency"
NYC,Manhattan - NoHo,restaurant_density_per_1000,72.8,10,7,Yelp API,2025-01-01,Restaurants per 1000 residents
NYC,Manhattan - NoHo,median_household_income_thousands,205.0,10,7,Census ACS 2024,2024-12-31,Median HHI in thousands USD
NYC,Manhattan - NoHo,bachelor_degree_plus_pct,73.8,10,7,Census ACS 2024,2024-12-31,% with bachelor's degree or higher
NYC,Manhattan - NoHo,job_density_per_sq_mile,42500.0,10,7,BLS / LEHD,2024-12-31,Jobs per square mile
NYC,Manhattan - NoHo,year_over_year_price_appreciation_pct,12.9,10,7,Zillow Home Value Index,2024-11-01,YoY home price appreciation %
NYC,Manhattan - NoHo,new_construction_permits_ytd,840.0,10,7,NYC DOB,2024-12-31,New construction permits YTD 2024
NYC,Manhattan - NoHo,crime_rate_per_1000_residents,9.5,10,7,NYPD CompStat,2024-11-01,Crimes per 1000 residents (lower is better)
NYC,Manhattan - NoHo,green_space_acres_per_1000,12.2,10,7,NYC Parks Dept,2024-12-31,Park/green space acres per 1000 residents
NYC,Manhattan - NoHo,walkability_index,88.0,10,7,Walk Score,2025-01-01,Walk Score walkability index
NYC,Manhattan - NoHo,avg_commute_time_minutes,6.0,10,7,Census ACS,2024-12-31,Average commute time to Manhattan CBD
NYC,Manhattan - NoHo,coffee_shops_per_1000,22.8,10,7,Yelp / Google Places,2025-01-01,Coffee shops per 1000 residents
NYC,Manhattan - Flatiron,accessibility_score,87.0,11,13,Walk Score / Transit Data,2025-01-01,Walkability and transit access
NYC,Manhattan - Flatiron,amenity_score,89.0,11,13,Google Places / Yelp,2025-01-01,"Restaurants, retail, entertainment density"
NYC,Manhattan - Flatiron,demographic_quality_score,83.0,11,13,Census ACS 2024,2024-12-31,"Income, education, age demographics"
NYC,Manhattan - Flatiron,employment_economic_score,90.0,11,13,Labor Bureau / Tech Data,2024-12-31,"Job density, high-paying industries"
NYC,Manhattan - Flatiron,real_estate_momentum_score,80.0,11,13,Zillow / Redfin,2024-11-01,"Price appreciation, rent growth"
NYC,Manhattan - Flatiron,development_investment_score,78.0,11,13,City Planning / CRE,2024-12-31,"Construction, redevelopment projects"
NYC,Manhattan - Flatiron,livability_safety_score,82.0,11,13,FBI Crime Data / NYPD,2024-11-01,"Crime rates, public safety"
NYC,Manhattan - Flatiron,cultural_vibrancy_score,85.0,11,13,Cultural Institutions,2024-12-31,"Arts, music, events, nightlife"
NYC,Manhattan - Flatiron,future_growth_catalysts_score,72.0,11,13,Development Pipeline,2024-12-31,"Planned transit, redevelopment"
NYC,Manhattan - Flatiron,composite_overall_score,82.9,11,13,Weighted Average,2024-12-31,Overall neighborhood quality
NYC,Manhattan - Flatiron,investor_attractiveness_score,80.0,11,13,Investment Analysis,2024-12-31,Investment opportunity rating
NYC,Manhattan - Flatiron,resident_desirability_score,85.8,11,13,Lifestyle Index,2024-12-31,Quality of life for residents
NYC,Manhattan - Flatiron,value_add_potential_score,56.0,11,13,Growth Potential,2024-12-31,Value appreciation opportunity
NYC,Manhattan - Flatiron,transit_connectivity_score,90.0,11,13,MTA / Transit Authority,2025-01-01,"Subway/bus lines, frequency"
NYC,Manhattan - Flatiron,restaurant_density_per_1000,71.2,11,13,Yelp API,2025-01-01,Restaurants per 1000 residents
NYC,Manhattan - Flatiron,median_household_income_thousands,208.0,11,13,Census ACS 2024,2024-12-31,Median HHI in thousands USD
NYC,Manhattan - Flatiron,bachelor_degree_plus_pct,74.7,11,13,Census ACS 2024,2024-12-31,% with bachelor's degree or higher
NYC,Manhattan - Flatiron,job_density_per_sq_mile,45000.0,11,13,BLS / LEHD,2024-12-31,Jobs per square mile
NYC,Manhattan - Flatiron,year_over_year_price_appreciation_pct,12.0,11,13,Zillow Home Value Index,2024-11-01,YoY home price appreciation %
NYC,Manhattan - Flatiron,new_construction_permits_ytd,780.0,11,13,NYC DOB,2024-12-31,New construction permits YTD 2024
NYC,Manhattan - Flatiron,crime_rate_per_1000_residents,9.0,11,13,NYPD CompStat,2024-11-01,Crimes per 1000 residents (lower is better)
NYC,Manhattan - Flatiron,green_space_acres_per_1000,12.3,11,13,NYC Parks Dept,2024-12-31,Park/green space acres per 1000 residents
NYC,Manhattan - Flatiron,walkability_index,87.0,11,13,Walk Score,2025-01-01,Walk Score walkability index
NYC,Manhattan - Flatiron,avg_commute_time_minutes,6.0,11,13,Census ACS,2024-12-31,Average commute time to Manhattan CBD
NYC,Manhattan - Flatiron,coffee_shops_per_1000,22.2,11,13,Yelp / Google Places,2025-01-01,Coffee shops per 1000 residents
NYC,Manhattan - Murray Hill,accessibility_score,86.0,12,20,Walk Score / Transit Data,2025-01-01,Walkability and transit access
NYC,Manhattan - Murray Hill,amenity_score,88.0,12,20,Google Places / Yelp,2025-01-01,"Restaurants, retail, entertainment density"
NYC,Manhattan - Murray Hill,demographic_quality_score,81.0,12,20,Census ACS 2024,2024-12-31,"Income, education, age demographics"
NYC,Manhattan - Murray Hill,employment_economic_score,84.0,12,20,Labor Bureau / Tech Data,2024-12-31,"Job density, high-paying industries"
NYC,Manhattan - Murray Hill,real_estate_momentum_score,77.0,12,20,Zillow / Redfin,2024-11-01,"Price appreciation, rent growth"
NYC,Manhattan - Murray Hill,development_investment_score,74.0,12,20,City Planning / CRE,2024-12-31,"Construction, redevelopment projects"
NYC,Manhattan - Murray Hill,livability_safety_score,84.0,12,20,FBI Crime Data / NYPD,2024-11-01,"Crime rates, public safety"
NYC,Manhattan - Murray Hill,cultural_vibrancy_score,80.0,12,20,Cultural Institutions,2024-12-31,"Arts, music, events, nightlife"
NYC,Manhattan - Murray Hill,future_growth_catalysts_score,68.0,12,20,Development Pipeline,2024-12-31,"Planned transit, redevelopment"
NYC,Manhattan - Murray Hill,composite_overall_score,80.2,12,20,Weighted Average,2024-12-31,Overall neighborhood quality
NYC,Manhattan - Murray Hill,investor_attractiveness_score,75.8,12,20,Investment Analysis,2024-12-31,Investment opportunity rating
NYC,Manhattan - Murray Hill,resident_desirability_score,84.5,12,20,Lifestyle Index,2024-12-31,Quality of life for residents
NYC,Manhattan - Murray Hill,value_add_potential_score,52.0,12,20,Growth Potential,2024-12-31,Value appreciation opportunity
NYC,Manhattan - Murray Hill,transit_connectivity_score,89.0,12,20,MTA / Transit Authority,2025-01-01,"Subway/bus lines, frequency"
NYC,Manhattan - Murray Hill,restaurant_density_per_1000,70.4,12,20,Yelp API,2025-01-01,Restaurants per 1000 residents
NYC,Manhattan - Murray Hill,median_household_income_thousands,202.0,12,20,Census ACS 2024,2024-12-31,Median HHI in thousands USD
NYC,Manhattan - Murray Hill,bachelor_degree_plus_pct,72.9,12,20,Census ACS 2024,2024-12-31,% with bachelor's degree or higher
NYC,Manhattan - Murray Hill,job_density_per_sq_mile,42000.0,12,20,BLS / LEHD,2024-12-31,Jobs per square mile
NYC,Manhattan - Murray Hill,year_over_year_price_appreciation_pct,11.5,12,20,Zillow Home Value Index,2024-11-01,YoY home price appreciation %
